sg;quality;size;#conditions;description
1;0.00224;250;1;c < 2.50000
2;0.00224;250;1;c < 2.50000
3;0.00224;250;2;c < 2.50000 && c < 2.50000
4;0.00224;250;2;c < 2.50000 && c < 2.50000
5;0.00224;250;2;c < 4.50000 && c < 3.00000
6;0.00224;250;2;c < 3.50000 && c < 3.00000
7;0.00224;250;3;c < 2.50000 && c < 2.50000 && c < 2.50000
8;0.00224;250;3;c < 2.50000 && c < 2.50000 && c < 2.50000
9;0.00224;250;3;c < 4.50000 && c < 3.00000 && c < 2.50000
10;0.00224;250;3;c < 3.50000 && c < 3.00000 && c < 2.50000
11;0.00224;250;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
12;0.00224;250;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
13;0.00224;250;4;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000
14;0.00224;250;4;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000
15;0.00224;250;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
16;0.00224;250;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
17;0.00224;250;5;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000
18;0.00224;250;5;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000
19;0.00224;250;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
20;0.00224;250;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
21;0.00224;250;6;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
22;0.00224;250;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
23;0.00224;250;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
24;0.00224;250;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
25;0.00224;250;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
26;0.00224;250;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
27;0.00224;250;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
28;0.00224;250;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
29;0.00224;250;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
30;0.00224;250;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000
31;0.00192;125;2;c < 2.50000 && c > 1.00000
32;0.00192;125;2;c < 2.50000 && c > 1.00000
33;0.00192;125;2;c < 2.50000 && c > 1.00000
34;0.00192;125;2;c < 2.50000 && c > 1.00000
35;0.00192;125;3;c < 2.50000 && c < 2.50000 && c > 1.00000
36;0.00192;125;3;c < 2.50000 && c < 2.50000 && c > 1.00000
37;0.00192;125;3;c < 2.50000 && c < 2.50000 && c > 1.00000
38;0.00192;125;3;c < 2.50000 && c < 2.50000 && c > 1.00000
39;0.00192;125;3;c < 4.50000 && c < 3.00000 && c > 1.00000
40;0.00192;125;3;c < 4.50000 && c < 3.00000 && c > 1.00000
41;0.00192;125;3;c < 3.50000 && c < 3.00000 && c > 1.00000
42;0.00192;125;3;c < 3.50000 && c < 3.00000 && c > 1.00000
43;0.00192;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
44;0.00192;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
45;0.00192;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
46;0.00192;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
47;0.00192;125;4;c < 4.50000 && c < 3.00000 && c < 2.50000 && c > 1.00000
48;0.00192;125;4;c < 4.50000 && c < 3.00000 && c < 2.50000 && c > 1.00000
49;0.00192;125;4;c < 3.50000 && c < 3.00000 && c < 2.50000 && c > 1.00000
50;0.00192;125;4;c < 3.50000 && c < 3.00000 && c < 2.50000 && c > 1.00000
51;0.00192;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
52;0.00192;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
53;0.00192;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
54;0.00192;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
55;0.00192;125;5;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c > 1.00000
56;0.00192;125;5;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c > 1.00000
57;0.00192;125;5;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c > 1.00000
58;0.00192;125;5;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c > 1.00000
59;0.00192;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
60;0.00192;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
61;0.00192;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
62;0.00192;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
63;0.00192;125;6;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
64;0.00192;125;6;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
65;0.00192;125;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
66;0.00192;125;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
67;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
68;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
69;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
70;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
71;0.00192;125;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
72;0.00192;125;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
73;0.00192;125;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
74;0.00192;125;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
75;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
76;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
77;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
78;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
79;0.00192;125;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
80;0.00192;125;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
81;0.00192;125;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
82;0.00192;125;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
83;0.00128;500;1;c < 4.50000
84;0.00128;500;2;c < 4.50000 && c < 4.50000
85;0.00096;375;1;c < 3.50000
86;0.00096;375;2;c < 4.50000 && c > 1.00000
