method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory
fssd	autos	['engine_location']	['simple']	1	symboling	3	0.11794871794871795	3	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	4	0.0009725093841552734	0
groundtruth	autos	['engine_location']	['simple']	1	symboling	3	0.11794871794871795	3	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	3	0.0009849071502685547	0
fssd	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2	symboling	3	0.11794871794871795	3	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	4	0.0013384819030761719	0
groundtruth	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2	symboling	3	0.11794871794871795	3	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	3	0.0013060569763183594	0
fssd	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3	symboling	3	0.11794871794871795	3	2	26	0.13333333333333333	0.4782608695652174	0.0872093023255814	0.040683760683760686	10	0.0021169185638427734	0
groundtruth	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3	symboling	3	0.11794871794871795	3	2	26	0.13333333333333333	0.4782608695652174	0.0872093023255814	0.040683760683760686	6	0.0021049976348876953	0
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels']	['simple', 'simple', 'simple', 'simple']	4	symboling	3	0.11794871794871795	3	2	75	0.38461538461538464	0.782608695652174	0.3313953488372093	0.04694280078895464	21	0.0032999515533447266	0
groundtruth	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels']	['simple', 'simple', 'simple', 'simple']	4	symboling	3	0.11794871794871795	3	2	73	0.37435897435897436	0.782608695652174	0.31976744186046513	0.04815253122945431	14	0.006408214569091797	0
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5	symboling	3	0.11794871794871795	3	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	9	0.0025641918182373047	0
groundtruth	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5	symboling	3	0.11794871794871795	3	2	77	0.39487179487179486	1.0	0.313953488372093	0.07137409598948061	14	0.005628824234008789	0
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple']	6	symboling	3	0.11794871794871795	3	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	10	0.0031518936157226562	0
groundtruth	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple']	6	symboling	3	0.11794871794871795	3	3	61	0.3128205128205128	1.0	0.22093023255813954	0.08105193951347799	27	0.022053956985473633	0
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	7	symboling	3	0.11794871794871795	3	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	14	0.0040302276611328125	0
groundtruth	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	7	symboling	3	0.11794871794871795	3	3	61	0.3128205128205128	1.0	0.22093023255813954	0.08105193951347799	50	0.10829544067382812	0
