method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory
fssd	credit	['A10']	['simple']	1	class	+	0.44894894894894893	3	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	4	0.002735137939453125	0
groundtruth	credit	['A10']	['simple']	1	class	+	0.44894894894894893	3	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	3	0.002758502960205078	0
fssd	credit	['A10', 'A12']	['simple', 'simple']	2	class	+	0.44894894894894893	3	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	12	0.004399776458740234	0
groundtruth	credit	['A10', 'A12']	['simple', 'simple']	2	class	+	0.44894894894894893	3	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	9	0.009172916412353516	0
fssd	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3	class	+	0.44894894894894893	3	1	352	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	24	0.006506443023681641	0
groundtruth	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3	class	+	0.44894894894894893	3	1	352	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	23	0.07182478904724121	0
fssd	credit	['A10', 'A12', 'A9', 'A13']	['simple', 'simple', 'simple', 'simple']	4	class	+	0.44894894894894893	3	3	355	0.5330330330330331	0.9431438127090301	0.1989100817438692	0.1841188034881729	64	0.01125788688659668	0
groundtruth	credit	['A10', 'A12', 'A9', 'A13']	['simple', 'simple', 'simple', 'simple']	4	class	+	0.44894894894894893	3	3	348	0.5225225225225225	0.9331103678929766	0.1880108991825613	0.18433298163027895	59	0.9289216995239258	0
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5	class	+	0.44894894894894893	3	3	356	0.5345345345345346	0.9464882943143813	0.1989100817438692	0.18494620746873003	137	0.01920008659362793	0
groundtruth	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5	class	+	0.44894894894894893	3	3	325	0.487987987987988	0.903010033444816	0.14986376021798364	0.1863237110984859	152	13.971469640731812	0
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple']	6	class	+	0.44894894894894893	3	3	355	0.5330330330330331	0.9464882943143813	0.19618528610354224	0.18562030498967438	227	0.03274822235107422	0
groundtruth	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple']	6	class	+	0.44894894894894893	3	3	325	0.487987987987988	0.903010033444816	0.14986376021798364	0.1863237110984859	325	126.10403990745544	0
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	7	class	+	0.44894894894894893	3	3	355	0.5330330330330331	0.9464882943143813	0.19618528610354224	0.18562030498967438	227	0.044028520584106445	0
groundtruth	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	7	class	+	0.44894894894894893	3	3	325	0.487987987987988	0.903010033444816	0.14986376021798364	0.1863237110984859	325	126.97531938552856	0
