method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory
fssd	dermatology	['k']	['numeric']	1	class	3	0.19832402234636873	3	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	1	0.0016658306121826172	0
groundtruth	dermatology	['k']	['numeric']	1	class	3	0.19832402234636873	3	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	1	0.0016913414001464844	0
fssd	dermatology	['k', 'm']	['numeric', 'numeric']	2	class	3	0.19832402234636873	3	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	4	0.0028040409088134766	0
groundtruth	dermatology	['k', 'm']	['numeric', 'numeric']	2	class	3	0.19832402234636873	3	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	6	0.003556489944458008	0
fssd	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3	class	3	0.19832402234636873	3	1	184	0.5139664804469274	1.0	0.39372822299651566	0.09639212259292783	4	0.0038874149322509766	0
groundtruth	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3	class	3	0.19832402234636873	3	1	184	0.5139664804469274	1.0	0.39372822299651566	0.09639212259292783	6	0.00446009635925293	0
fssd	dermatology	['k', 'm', 'u', 'ac']	['numeric', 'numeric', 'numeric', 'numeric']	4	class	3	0.19832402234636873	3	1	71	0.19832402234636873	0.9859154929577465	0.003484320557491289	0.1561983084173403	17	0.006057024002075195	0
groundtruth	dermatology	['k', 'm', 'u', 'ac']	['numeric', 'numeric', 'numeric', 'numeric']	4	class	3	0.19832402234636873	3	1	71	0.19832402234636873	0.9859154929577465	0.003484320557491289	0.1561983084173403	33	0.06753826141357422	0
fssd	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	3	0.19832402234636873	3	2	72	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	29	0.008345842361450195	0
groundtruth	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	3	0.19832402234636873	3	2	71	0.19832402234636873	1.0	0.0	0.15899160450672578	148	4.1005635261535645	0
