method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory
fssd	mushrooms	['veil_type']	['simple']	1	edible	p	0.48202855736090594	3	1	8124	1.0	1.0	1.0	0.0	1	0.030076026916503906	0
groundtruth	mushrooms	['veil_type']	['simple']	1	edible	p	0.48202855736090594	3	0	0	0.0	0.0	0.0	0.0	1	0.02921891212463379	0
fssd	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2	edible	p	0.48202855736090594	3	1	4748	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	4	0.04509878158569336	0
groundtruth	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2	edible	p	0.48202855736090594	3	1	4748	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	3	0.04590868949890137	0
fssd	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3	edible	p	0.48202855736090594	3	2	5108	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	11	0.06528377532958984	0
groundtruth	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3	edible	p	0.48202855736090594	3	2	5108	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	9	0.12072968482971191	0
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing']	['simple', 'simple', 'simple', 'simple']	4	edible	p	0.48202855736090594	3	3	3948	0.4859675036927622	0.906026557711951	0.09505703422053231	0.2024804598152564	27	0.08736133575439453	0
groundtruth	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing']	['simple', 'simple', 'simple', 'simple']	4	edible	p	0.48202855736090594	3	3	3948	0.4859675036927622	0.906026557711951	0.09505703422053231	0.2024804598152564	18	0.4693634510040283	0
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5	edible	p	0.48202855736090594	3	3	3738	0.4601181683899557	0.9014300306435138	0.049429657794676805	0.21272492030833745	40	0.11984372138977051	0
groundtruth	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5	edible	p	0.48202855736090594	3	3	3738	0.4601181683899557	0.9014300306435138	0.049429657794676805	0.21272492030833745	25	1.2777843475341797	0
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple']	6	edible	p	0.48202855736090594	3	2	3746	0.4611029049729197	0.9034729315628192	0.049429657794676805	0.2132349857368348	52	0.155623197555542	0
groundtruth	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple']	6	edible	p	0.48202855736090594	3	2	3746	0.4611029049729197	0.9034729315628192	0.049429657794676805	0.2132349857368348	45	6.192564964294434	0
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	7	edible	p	0.48202855736090594	3	3	3764	0.4633185622845889	0.9080694586312564	0.049429657794676805	0.21438263295095394	59	0.1967029571533203	0
groundtruth	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	7	edible	p	0.48202855736090594	3	3	3748	0.46134908911866074	0.9080694586312564	0.045627376425855515	0.2153319752598873	59	13.951124429702759	0
