method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	BreastTissue	['I0']	['numeric']	1	Class	car	0.19811320754716982	5	1	39	0.36792452830188677	1.0	0.21176470588235294	0.12522249911000355	19	0.00599980354309082	0	True
naive	BreastTissue	['I0']	['numeric']	1	Class	car	0.19811320754716982	5	1	39	0.36792452830188677	1.0	0.21176470588235294	0.12522249911000355	210	0.015000104904174805	0	True
fssd	BreastTissue	['I0', 'HFS']	['numeric', 'numeric']	2	Class	car	0.19811320754716982	5	1	32	0.3018867924528302	1.0	0.12941176470588237	0.13830544677821288	27	0.015000104904174805	0	True
naive	BreastTissue	['I0', 'HFS']	['numeric', 'numeric']	2	Class	car	0.19811320754716982	5	1	32	0.3018867924528302	1.0	0.12941176470588237	0.13830544677821288	1603	0.11500000953674316	0	True
fssd	BreastTissue	['I0', 'HFS', 'PA500']	['numeric', 'numeric', 'numeric']	3	Class	car	0.19811320754716982	5	1	24	0.22641509433962265	1.0	0.03529411764705882	0.1532573869704521	7	0.015000104904174805	0	True
naive	BreastTissue	['I0', 'HFS', 'PA500']	['numeric', 'numeric', 'numeric']	3	Class	car	0.19811320754716982	5	1	24	0.22641509433962265	1.0	0.03529411764705882	0.1532573869704521	7080	0.5439999103546143	0	True
fssd	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	Class	car	0.19811320754716982	5	1	23	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	7	0.02499985694885254	0	True
naive	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	Class	car	0.19811320754716982	5	1	23	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	22127	3.18999981880188	0	True
fssd	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	Class	car	0.19811320754716982	5	1	23	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	9	0.04500007629394531	0	True
naive	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	Class	car	0.19811320754716982	5	1	23	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	60141	18.375	0	True
fssd	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA', 'DA', '﻿Case']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10	Class	car	0.19811320754716982	5	1	21	0.19811320754716982	1.0	0.0	0.15886436454254182	9	0.04999971389770508	0	True
naive	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA', 'DA', '﻿Case']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10	Class	car	0.19811320754716982	5	1	21	0.19811320754716982	1.0	0.0	0.15886436454254182	93831	42.06099987030029	0	True
