method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	CMC	['i']	['numeric']	1	class	2	0.22606924643584522	5	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	4	0.009000301361083984	0	True
naive	CMC	['i']	['numeric']	1	class	2	0.22606924643584522	5	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	3	0.015000104904174805	0	True
fssd	CMC	['i', 'f']	['numeric', 'numeric']	2	class	2	0.22606924643584522	5	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	12	0.014999866485595703	0	True
naive	CMC	['i', 'f']	['numeric', 'numeric']	2	class	2	0.22606924643584522	5	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	9	0.015000104904174805	0	True
fssd	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3	class	2	0.22606924643584522	5	2	216	0.14663951120162932	0.22822822822822822	0.12280701754385964	0.018444699775870627	46	0.029999971389770508	0	True
naive	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3	class	2	0.22606924643584522	5	2	216	0.14663951120162932	0.22822822822822822	0.12280701754385964	0.018444699775870627	23	0.02499985694885254	0	True
fssd	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	2	0.22606924643584522	5	5	711	0.48268839103869654	0.7147147147147147	0.4149122807017544	0.052454016146716936	2424	0.4849998950958252	0	True
naive	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	2	0.22606924643584522	5	5	711	0.48268839103869654	0.7147147147147147	0.4149122807017544	0.052454016146716936	855	0.442000150680542	0	True
fssd	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	2	0.22606924643584522	5	5	788	0.5349626612355737	0.8588588588588588	0.44035087719298244	0.07322296932013168	276711	44.318000078201294	0	True
naive	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	2	0.22606924643584522	5	5	788	0.5349626612355737	0.8588588588588588	0.44035087719298244	0.07322296932013168	213915	100.96300005912781	0	True
fssd	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9	class	2	0.22606924643584522	5	5	690	0.4684317718940937	0.8378378378378378	0.3605263157894737	0.08351135095673239	4269772	947.4009997844696	0	True
