method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	TicTacToe	['a3']	['simple']	1	class	negative	0.3465553235908142	5	1	335	0.3496868475991649	0.4397590361445783	0.3019169329073482	0.03121499644788856	7	0.005000114440917969	0	True
naive	TicTacToe	['a3']	['simple']	1	class	negative	0.3465553235908142	5	1	335	0.3496868475991649	0.4397590361445783	0.3019169329073482	0.03121499644788856	4	0.005000114440917969	0	True
fssd	TicTacToe	['a3', 'b3']	['simple', 'simple']	2	class	negative	0.3465553235908142	5	2	412	0.430062630480167	0.5451807228915663	0.36900958466453676	0.039894787766789716	38	0.009999752044677734	0	True
naive	TicTacToe	['a3', 'b3']	['simple', 'simple']	2	class	negative	0.3465553235908142	5	2	412	0.430062630480167	0.5451807228915663	0.36900958466453676	0.039894787766789716	16	0.009999990463256836	0	True
fssd	TicTacToe	['a3', 'b3', 'b2']	['simple', 'simple', 'simple']	3	class	negative	0.3465553235908142	5	4	449	0.46868475991649267	0.7409638554216867	0.3242811501597444	0.09435977004981673	209	0.02500009536743164	0	True
naive	TicTacToe	['a3', 'b3', 'b2']	['simple', 'simple', 'simple']	3	class	negative	0.3465553235908142	5	4	449	0.46868475991649267	0.7409638554216867	0.3242811501597444	0.09435977004981673	63	0.02499985694885254	0	True
fssd	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1']	['simple', 'simple', 'simple', 'simple', 'simple']	5	class	negative	0.3465553235908142	5	5	561	0.5855949895615866	0.891566265060241	0.4233226837060703	0.1060359743899303	1048	0.08999991416931152	0	True
naive	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1']	['simple', 'simple', 'simple', 'simple', 'simple']	5	class	negative	0.3465553235908142	5	5	561	0.5855949895615866	0.891566265060241	0.4233226837060703	0.1060359743899303	652	0.13499999046325684	0	True
fssd	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1', 'c2', 'a2', 'c1']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	class	negative	0.3465553235908142	5	5	481	0.5020876826722338	0.8975903614457831	0.29233226837060705	0.1370635588234012	2306	0.2799999713897705	0	True
naive	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1', 'c2', 'a2', 'c1']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	class	negative	0.3465553235908142	5	5	481	0.5020876826722338	0.8975903614457831	0.29233226837060705	0.1370635588234012	6544	1.3599998950958252	0	True
fssd	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1', 'c2', 'a2', 'c1', 'c3']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	9	class	negative	0.3465553235908142	5	5	472	0.49269311064718163	0.9759036144578314	0.2364217252396166	0.16745917251058007	1732	0.25499987602233887	0	True
naive	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1', 'c2', 'a2', 'c1', 'c3']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	9	class	negative	0.3465553235908142	5	5	472	0.49269311064718163	0.9759036144578314	0.2364217252396166	0.16745917251058007	11188	2.628999948501587	0	True
