method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	adult	['sex']	['simple']	1	salary	high50K	0.2408095574460244	5	1	21790	0.6692054912318418	0.8496365259533223	0.6119741100323625	0.04344951762080798	4	0.20600008964538574	0	True
naive	adult	['sex']	['simple']	1	salary	high50K	0.2408095574460244	5	1	21790	0.6692054912318418	0.8496365259533223	0.6119741100323625	0.04344951762080798	3	0.1939997673034668	0	True
fssd	adult	['sex', 'race']	['simple', 'simple']	2	salary	high50K	0.2408095574460244	5	2	19867	0.6101471085040385	0.8062747098584364	0.5479368932038835	0.047229400885102836	48	0.34400010108947754	0	True
naive	adult	['sex', 'race']	['simple', 'simple']	2	salary	high50K	0.2408095574460244	5	2	19867	0.6101471085040385	0.8062747098584364	0.5479368932038835	0.047229400885102836	18	0.37999987602233887	0	True
fssd	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3	salary	high50K	0.2408095574460244	5	2	14760	0.4533030312336845	0.8497640607065425	0.3275485436893204	0.09547160505195418	200	0.5799999237060547	0	True
naive	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3	salary	high50K	0.2408095574460244	5	2	14760	0.4533030312336845	0.8497640607065425	0.3275485436893204	0.09547160505195418	93	0.8259999752044678	0	True
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5	salary	high50K	0.2408095574460244	5	5	15168	0.4658333589263229	0.8617523275092462	0.3402508090614887	0.09534107160894022	3544	2.0779998302459717	0	True
naive	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5	salary	high50K	0.2408095574460244	5	5	15168	0.4658333589263229	0.8617523275092462	0.3402508090614887	0.09534107160894022	1119	7.96399998664856	0	True
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	salary	high50K	0.2408095574460244	5	5	15581	0.4785172445563711	0.8891722994516006	0.34826051779935274	0.09888966203229306	18206	9.927000045776367	0	True
naive	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	salary	high50K	0.2408095574460244	5	5	15581	0.4785172445563711	0.8891722994516006	0.34826051779935274	0.09888966203229306	17499	113.47499990463257	0	True
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric']	10	salary	high50K	0.2408095574460244	5	1	10043	0.30843647308129357	0.6603749521744675	0.1968042071197411	0.08475014939865412	253000	1803.026999950409	0	False
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	12	salary	high50K	0.2408095574460244	5	1	1251	0.03842019593992813	0.08277005483994389	0.024352750809061487	0.01067986989450642	1372000	1800.4500000476837	0	False
