method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	autos	['engine_location']	['simple']	1	symboling	3	0.11794871794871795	5	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	4	0.0009999275207519531	0	True
naive	autos	['engine_location']	['simple']	1	symboling	3	0.11794871794871795	5	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	3	0.0009999275207519531	0	True
fssd	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2	symboling	3	0.11794871794871795	5	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	4	0.0	0	True
naive	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2	symboling	3	0.11794871794871795	5	1	3	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	3	0.004999876022338867	0	True
fssd	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3	symboling	3	0.11794871794871795	5	2	26	0.13333333333333333	0.4782608695652174	0.0872093023255814	0.040683760683760686	10	0.0	0	True
naive	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3	symboling	3	0.11794871794871795	5	2	26	0.13333333333333333	0.4782608695652174	0.0872093023255814	0.040683760683760686	6	0.005000114440917969	0	True
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5	symboling	3	0.11794871794871795	5	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	9	0.0	0	True
naive	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5	symboling	3	0.11794871794871795	5	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	14	0.004999876022338867	0	True
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	symboling	3	0.11794871794871795	5	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	16	0.005000114440917969	0	True
naive	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	symboling	3	0.11794871794871795	5	1	78	0.4	1.0	0.31976744186046513	0.07076923076923076	62	0.009999990463256836	0	True
