method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	credit	['A10']	['simple']	1	class	+	0.44894894894894893	5	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	4	0.004000186920166016	0	True
naive	credit	['A10']	['simple']	1	class	+	0.44894894894894893	5	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	3	0.0029997825622558594	0	True
fssd	credit	['A10', 'A12']	['simple', 'simple']	2	class	+	0.44894894894894893	5	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	12	0.004999876022338867	0	True
naive	credit	['A10', 'A12']	['simple', 'simple']	2	class	+	0.44894894894894893	5	1	290	0.43543543543543545	0.6889632107023411	0.22888283378746593	0.11382102823544266	9	0.004999876022338867	0	True
fssd	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3	class	+	0.44894894894894893	5	1	352	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	24	0.009999990463256836	0	True
naive	credit	['A10', 'A12', 'A9']	['simple', 'simple', 'simple']	3	class	+	0.44894894894894893	5	1	352	0.5285285285285285	0.9364548494983278	0.19618528610354224	0.183138093048003	23	0.009999990463256836	0	True
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5	class	+	0.44894894894894893	5	3	356	0.5345345345345346	0.9464882943143813	0.1989100817438692	0.18494620746873003	162	0.02499985694885254	0	True
naive	credit	['A10', 'A12', 'A9', 'A13', 'A5']	['simple', 'simple', 'simple', 'simple', 'simple']	5	class	+	0.44894894894894893	5	3	356	0.5345345345345346	0.9464882943143813	0.1989100817438692	0.18494620746873003	152	0.03500008583068848	0	True
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	class	+	0.44894894894894893	5	5	357	0.536036036036036	0.9531772575250836	0.19618528610354224	0.18727511295078864	535	0.11500024795532227	0	True
naive	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	class	+	0.44894894894894893	5	5	357	0.536036036036036	0.9531772575250836	0.19618528610354224	0.18727511295078864	765	0.20999979972839355	0	True
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10	class	+	0.44894894894894893	5	5	357	0.536036036036036	0.9531772575250836	0.19618528610354224	0.18727511295078864	899	0.29000020027160645	0	True
naive	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	10	class	+	0.44894894894894893	5	5	357	0.536036036036036	0.9531772575250836	0.19618528610354224	0.18727511295078864	16786	3.888000011444092	0	True
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric']	12	class	+	0.44894894894894893	5	5	359	0.539039039039039	0.9698996655518395	0.1880108991825613	0.19343442541640743	140811	48.76300001144409	0	True
fssd	credit	['A10', 'A12', 'A9', 'A13', 'A5', 'A1', 'A4', 'A7', 'A6', 'A11', 'A8', 'A14', 'A3', 'A15', 'A2']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15	class	+	0.44894894894894893	5	1	92	0.13813813813813813	0.2140468227424749	0.07629427792915532	0.03407912416921426	8291000	1800.308000087738	0	False
