method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	dermatology	['k']	['numeric']	1	class	3	0.19832402234636873	5	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	1	0.0019998550415039062	0	True
naive	dermatology	['k']	['numeric']	1	class	3	0.19832402234636873	5	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	1	0.0019998550415039062	0	True
fssd	dermatology	['k', 'm']	['numeric', 'numeric']	2	class	3	0.19832402234636873	5	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	4	0.004999876022338867	0	True
naive	dermatology	['k', 'm']	['numeric', 'numeric']	2	class	3	0.19832402234636873	5	1	314	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	6	0.004999876022338867	0	True
fssd	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3	class	3	0.19832402234636873	5	1	184	0.5139664804469274	1.0	0.39372822299651566	0.09639212259292783	4	0.004999876022338867	0	True
naive	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3	class	3	0.19832402234636873	5	1	184	0.5139664804469274	1.0	0.39372822299651566	0.09639212259292783	6	0.005000114440917969	0	True
fssd	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	3	0.19832402234636873	5	2	72	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	29	0.009999752044677734	0	True
naive	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	3	0.19832402234636873	5	2	72	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	148	0.02499985694885254	0	True
fssd	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	3	0.19832402234636873	5	2	72	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	89	0.02500009536743164	0	True
naive	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	3	0.19832402234636873	5	2	72	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	10873	1.618999719619751	0	True
