method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	mushrooms	['veil_type']	['simple']	1	edible	p	0.48202855736090594	5	1	8124	1.0	1.0	1.0	0.0	1	0.03699994087219238	0	True
naive	mushrooms	['veil_type']	['simple']	1	edible	p	0.48202855736090594	5	0	0	0.0	0.0	0.0	0.0	1	0.03300023078918457	0	True
fssd	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2	edible	p	0.48202855736090594	5	1	4748	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	4	0.04999995231628418	0	True
naive	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2	edible	p	0.48202855736090594	5	1	4748	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	3	0.05500006675720215	0	True
fssd	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3	edible	p	0.48202855736090594	5	2	5108	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	11	0.08000016212463379	0	True
naive	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3	edible	p	0.48202855736090594	5	2	5108	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	9	0.08599996566772461	0	True
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5	edible	p	0.48202855736090594	5	3	3738	0.4601181683899557	0.9014300306435138	0.049429657794676805	0.21272492030833745	46	0.15700006484985352	0	True
naive	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5	edible	p	0.48202855736090594	5	3	3738	0.4601181683899557	0.9014300306435138	0.049429657794676805	0.21272492030833745	25	0.1700000762939453	0	True
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	edible	p	0.48202855736090594	5	4	3884	0.47808961102904973	0.9448416751787538	0.043726235741444866	0.22498782412730686	101	0.3819999694824219	0	True
naive	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8	edible	p	0.48202855736090594	5	4	3884	0.47808961102904973	0.9448416751787538	0.043726235741444866	0.22498782412730686	93	0.5219998359680176	0	True
