method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	sonar	['bh']	['numeric']	1	class	R	0.46634615384615385	5	5	102	0.49038461538461536	0.6701030927835051	0.3333333333333333	0.08381102071005916	4488	0.28999996185302734	0	True
naive	sonar	['bh']	['numeric']	1	class	R	0.46634615384615385	5	5	102	0.49038461538461536	0.6701030927835051	0.3333333333333333	0.08381102071005916	2278	0.24100041389465332	0	True
fssd	sonar	['bh', 'bg']	['numeric', 'numeric']	2	class	R	0.46634615384615385	5	5	134	0.6442307692307693	0.8762886597938144	0.44144144144144143	0.10821930473372782	226162	16.23800015449524	0	True
naive	sonar	['bh', 'bg']	['numeric', 'numeric']	2	class	R	0.46634615384615385	5	5	134	0.6442307692307693	0.8762886597938144	0.44144144144144143	0.10821930473372782	270767	30.895999908447266	0	True
fssd	sonar	['bh', 'bg', 'be']	['numeric', 'numeric', 'numeric']	3	class	R	0.46634615384615385	5	5	143	0.6875	0.9484536082474226	0.4594594594594595	0.12169471153846152	13522704	1104.920000076294	0	True
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	R	0.46634615384615385	5	1	53	0.2548076923076923	0.3917525773195876	0.13513513513513514	0.06386372041420119	17787000	1800.0700001716614	0	False
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	R	0.46634615384615385	5	1	152	0.7307692307692307	0.8969072164948454	0.5855855855855856	0.07747781065088757	11465000	1800.1460001468658	0	False
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10	class	R	0.46634615384615385	5	1	152	0.7307692307692307	0.8969072164948454	0.5855855855855856	0.07747781065088757	10021000	1800.1159999370575	0	False
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	12	class	R	0.46634615384615385	5	1	150	0.7211538461538461	0.8969072164948454	0.5675675675675675	0.08196190828402368	8261000	1800.0989997386932	0	False
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a', 'd', 'b', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15	class	R	0.46634615384615385	5	1	149	0.7163461538461539	0.8969072164948454	0.5585585585585585	0.08420395710059174	4649000	1800.1549999713898	0	False
