method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	BreastTissue	['I0']	['numeric']	1.0	8.0	Class	car	0.19811320754716982	5.0	1.0	36.0	0.33962264150943394	0.9047619047619048	0.2	0.11196155215379137	0.0015261173248291016
BSD	BreastTissue	['I0']	['numeric']	1.0	8.0	Class	car	0.19811320754716982	5.0	3.0	63.0	0.5943396226415094	1.0	0.49411764705882355	0.08036667853328586	0.010445117950439453
DSSD	BreastTissue	['I0']	['numeric']	1.0	8.0	Class	car	0.19811320754716982	5.0	5.0	40.0	0.37735849056603776	1.0	0.2235294117647059	0.12335350658597366	0.47887396812438965
fssd	BreastTissue	['I0', 'HFS']	['numeric', 'numeric']	2.0	8.0	Class	car	0.19811320754716982	5.0	1.0	30.0	0.2830188679245283	0.9047619047619048	0.12941176470588237	0.1231755072979708	0.003801107406616211
BSD	BreastTissue	['I0', 'HFS']	['numeric', 'numeric']	2.0	8.0	Class	car	0.19811320754716982	5.0	5.0	42.0	0.39622641509433965	0.7619047619047619	0.3058823529411765	0.07244571021715912	0.019288063049316406
DSSD	BreastTissue	['I0', 'HFS']	['numeric', 'numeric']	2.0	8.0	Class	car	0.19811320754716982	5.0	5.0	33.0	0.3113207547169811	1.0	0.1411764705882353	0.136436454254183	0.5106573104858398
fssd	BreastTissue	['I0', 'HFS', 'PA500']	['numeric', 'numeric', 'numeric']	3.0	8.0	Class	car	0.19811320754716982	5.0	1.0	25.0	0.2358490566037736	1.0	0.047058823529411764	0.15138839444642221	0.0021944046020507812
BSD	BreastTissue	['I0', 'HFS', 'PA500']	['numeric', 'numeric', 'numeric']	3.0	8.0	Class	car	0.19811320754716982	5.0	5.0	22.0	0.20754716981132076	0.8571428571428571	0.047058823529411764	0.12869348522605908	0.026912212371826172
DSSD	BreastTissue	['I0', 'HFS', 'PA500']	['numeric', 'numeric', 'numeric']	3.0	8.0	Class	car	0.19811320754716982	5.0	5.0	30.0	0.2830188679245283	1.0	0.10588235294117647	0.1420434318262727	0.5517568588256836
fssd	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	Class	car	0.19811320754716982	5.0	1.0	23.0	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	0.0036411285400390625
BSD	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	Class	car	0.19811320754716982	5.0	5.0	31.0	0.29245283018867924	0.9047619047619048	0.1411764705882353	0.12130651477394089	0.07129359245300293
DSSD	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	Class	car	0.19811320754716982	5.0	5.0	30.0	0.2830188679245283	1.0	0.10588235294117647	0.1420434318262727	0.6110572814941406
fssd	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	Class	car	0.19811320754716982	5.0	1.0	23.0	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	0.005948305130004883
BSD	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	Class	car	0.19811320754716982	5.0	5.0	30.0	0.2830188679245283	0.8571428571428571	0.1411764705882353	0.11374154503381985	0.15626764297485352
DSSD	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	Class	car	0.19811320754716982	5.0	5.0	30.0	0.2830188679245283	1.0	0.10588235294117647	0.1420434318262727	0.7442448139190674
fssd	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA', 'DA', '\ufeffCase']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8.0	Class	car	0.19811320754716982	5.0	1.0	23.0	0.2169811320754717	1.0	0.023529411764705882	0.15512637949448202	0.0072019100189208984
BSD	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA', 'DA', '\ufeffCase']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8.0	Class	car	0.19811320754716982	5.0	5.0	25.0	0.2358490566037736	1.0	0.047058823529411764	0.15138839444642221	0.21889925003051758
DSSD	BreastTissue	['I0', 'HFS', 'PA500', 'DR', 'P', 'Area', 'Max_IP', 'A_DA', 'DA', '\ufeffCase']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8.0	Class	car	0.19811320754716982	5.0	5.0	31.0	0.29245283018867924	1.0	0.11764705882352941	0.14017443930224277	0.8555684089660645
MCTS4DM	BreastTissue	['I0']	['numeric']	1.0	8	Class	car	0.19811320754716982	5.0	5.0	39.0	0.36792452830188677	0.9523809523809523	0.2235294117647059	0.11578853684585261	0.17108774185180664
MCTS4DM	BreastTissue	['I0', 'HFS']	['numeric', 'numeric']	2.0	8	Class	car	0.19811320754716982	5.0	5.0	48.0	0.4528301886792453	0.9523809523809523	0.32941176470588235	0.09896760412958348	3.9376347064971924
MCTS4DM	BreastTissue	['I0', 'HFS', 'PA500']	['numeric', 'numeric', 'numeric']	3.0	8	Class	car	0.19811320754716982	5.0	5.0	64.0	0.6037735849056604	0.9523809523809523	0.5058823529411764	0.07093271626913492	4.071650505065918
