method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	CMC	['i']	['numeric']	1.0	8.0	class	2	0.22606924643584522	5.0	1.0	1364.0	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	0.006697893142700195
BSD	CMC	['i']	['numeric']	1.0	8.0	class	2	0.22606924643584522	5.0	1.0	1364.0	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	0.007091522216796875
DSSD	CMC	['i']	['numeric']	1.0	8.0	class	2	0.22606924643584522	5.0	1.0	1364.0	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	0.45584630966186523
fssd	CMC	['i', 'f']	['numeric', 'numeric']	2.0	8.0	class	2	0.22606924643584522	5.0	1.0	1364.0	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	0.011763572692871094
BSD	CMC	['i', 'f']	['numeric', 'numeric']	2.0	8.0	class	2	0.22606924643584522	5.0	4.0	1391.0	0.9443312966734555	0.9819819819819819	0.9333333333333333	0.008511662055491713	0.009723186492919922
DSSD	CMC	['i', 'f']	['numeric', 'numeric']	2.0	8.0	class	2	0.22606924643584522	5.0	2.0	1391.0	0.9443312966734555	0.9819819819819819	0.9333333333333333	0.008511662055491713	0.4620068073272705
fssd	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	2	0.22606924643584522	5.0	2.0	216.0	0.14663951120162932	0.22822822822822822	0.12280701754385964	0.018444699775870627	0.023139238357543945
BSD	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	2	0.22606924643584522	5.0	5.0	1372.0	0.9314324507807196	0.972972972972973	0.9192982456140351	0.009391034548554235	0.013771772384643555
DSSD	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	2	0.22606924643584522	5.0	5.0	1395.0	0.9470468431771895	0.9819819819819819	0.9368421052631579	0.0078977605037311	0.48966312408447266
fssd	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	2	0.22606924643584522	5.0	5.0	711.0	0.48268839103869654	0.7147147147147147	0.4149122807017544	0.052454016146716936	0.4279773235321045
BSD	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	2	0.22606924643584522	5.0	5.0	936.0	0.6354378818737271	0.8168168168168168	0.5824561403508772	0.04100419914192049	0.0723264217376709
DSSD	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	2	0.22606924643584522	5.0	5.0	936.0	0.6354378818737271	0.8168168168168168	0.5824561403508772	0.04100419914192049	0.7209749221801758
fssd	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	2	0.22606924643584522	5.0	5.0	813.0	0.5519348268839104	0.8708708708708709	0.4587719298245614	0.07210163112536175	21.8624210357666
BSD	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	2	0.22606924643584522	5.0	5.0	577.0	0.39171758316361166	0.6216216216216216	0.32456140350877194	0.051974232726759884	0.42299962043762207
DSSD	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	2	0.22606924643584522	5.0	5.0	862.0	0.5852002715546504	0.8288288288288288	0.5140350877192983	0.05507692435322567	1.4015169143676758
fssd	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9.0	8.0	class	2	0.22606924643584522	5.0	5.0	713.0	0.48404616429056346	0.8438438438438438	0.37894736842105264	0.0813391902859758	126.05949449539185
BSD	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9.0	8.0	class	2	0.22606924643584522	5.0	5.0	577.0	0.39171758316361166	0.6216216216216216	0.32456140350877194	0.051974232726759884	0.703747034072876
DSSD	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9.0	8.0	class	2	0.22606924643584522	5.0	5.0	773.0	0.5247793618465716	0.7867867867867868	0.4482456140350877	0.05923182111683072	1.7436482906341553
MCTS4DM	CMC	['i']	['numeric']	1.0	8	class	2	0.22606924643584522	5.0	2.0	1473.0	1.0	1.0	0.9991228070175439	0.00015347538794015337	0.1366276741027832
MCTS4DM	CMC	['i', 'f']	['numeric', 'numeric']	2.0	8	class	2	0.22606924643584522	5.0	4.0	1473.0	1.0	1.0	0.9991228070175439	0.00015347538794015337	0.15059208869934082
MCTS4DM	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3.0	8	class	2	0.22606924643584522	5.0	5.0	1473.0	1.0	1.0	0.9991228070175439	0.00015347538794015337	0.17109346389770508
MCTS4DM	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8	class	2	0.22606924643584522	5.0	5.0	711.0	0.48268839103869654	0.6786786786786787	0.42543859649122806	0.044307376635515316	0.4788658618927002
MCTS4DM	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8	class	2	0.22606924643584522	5.0	5.0	694.0	0.4711473183978276	0.7537537537537538	0.38859649122807016	0.06388862387883464	2.787173271179199
MCTS4DM	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9.0	8	class	2	0.22606924643584522	5.0	5.0	742.0	0.5037338764426341	0.7867867867867868	0.42105263157894735	0.06398955814297547	4.14706826210022
CN2SD	CMC	['i']	['numeric']	1.0	-1.0	class	2	0.22606924643584522	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.16000008583068848
CN2SD	CMC	['i', 'f']	['numeric', 'numeric']	2.0	-1.0	class	2	0.22606924643584522	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1549999713897705
CN2SD	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3.0	-1.0	class	2	0.22606924643584522	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.16499996185302734
CN2SD	CMC	['i', 'f', 'e', 'g', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	-1.0	class	2	0.22606924643584522	5.0	5.0	0.0	0.0	0.0	0.0	0.0	1.8050000667572021
CN2SD	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	-1.0	class	2	0.22606924643584522	5.0	5.0	75.0	0.05084745762711865	0.13213213213213212	0.027192982456140352	0.018360357445561172	15.17900013923645
CN2SD	CMC	['i', 'f', 'e', 'g', 'c', 'b', 'h', 'd', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9.0	-1.0	class	2	0.22606924643584522	5.0	5.0	85.0	0.0576271186440678	0.17117117117117117	0.02456140350877193	0.025651129703294744	18.382999897003174
