method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	TicTacToe	['a3']	['simple']	1.0	8.0	class	negative	0.3465553235908142	5.0	1.0	335.0	0.3496868475991649	0.4397590361445783	0.3019169329073482	0.03121499644788856	0.003843545913696289
BSD	TicTacToe	['a3']	['simple']	1.0	8.0	class	negative	0.3465553235908142	5.0	1.0	335.0	0.3496868475991649	0.4397590361445783	0.3019169329073482	0.03121499644788856	0.007930994033813477
DSSD	TicTacToe	['a3']	['simple']	1.0	8.0	class	negative	0.3465553235908142	5.0	5.0	958.0	1.0	1.0	1.0	0.0	0.4531428813934326
fssd	TicTacToe	['a3', 'b3']	['simple', 'simple']	2.0	8.0	class	negative	0.3465553235908142	5.0	2.0	412.0	0.430062630480167	0.5451807228915663	0.36900958466453676	0.039894787766789716	0.007852315902709961
BSD	TicTacToe	['a3', 'b3']	['simple', 'simple']	2.0	8.0	class	negative	0.3465553235908142	5.0	5.0	574.0	0.5991649269311065	0.6927710843373494	0.549520766773163	0.03243971217001319	0.01305699348449707
DSSD	TicTacToe	['a3', 'b3']	['simple', 'simple']	2.0	8.0	class	negative	0.3465553235908142	5.0	5.0	412.0	0.430062630480167	0.5451807228915663	0.36900958466453676	0.039894787766789716	0.47252988815307617
fssd	TicTacToe	['a3', 'b3', 'b2']	['simple', 'simple', 'simple']	3.0	8.0	class	negative	0.3465553235908142	5.0	4.0	449.0	0.46868475991649267	0.7409638554216867	0.3242811501597444	0.09435977004981673	0.021112680435180664
BSD	TicTacToe	['a3', 'b3', 'b2']	['simple', 'simple', 'simple']	3.0	8.0	class	negative	0.3465553235908142	5.0	5.0	572.0	0.5970772442588727	0.8072289156626506	0.48562300319488816	0.07282918048648673	0.027350902557373047
DSSD	TicTacToe	['a3', 'b3', 'b2']	['simple', 'simple', 'simple']	3.0	8.0	class	negative	0.3465553235908142	5.0	5.0	500.0	0.5219206680584552	0.7228915662650602	0.41533546325878595	0.06964753466032661	0.4914851188659668
fssd	TicTacToe	['a3', 'b3', 'b2', 'a1', 'b1']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	class	negative	0.3465553235908142	5.0	5.0	561.0	0.5855949895615866	0.891566265060241	0.4233226837060703	0.1060359743899303	0.08710622787475586
