method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	abalone	['h']	['numeric']	1.0	8.0	class	M	0.3658127842949485	5.0	1.0	2080.0	0.49796504668422314	0.6223821989528796	0.4261985654964137	0.0455133848854458	0.041771650314331055
BSD	abalone	['h']	['numeric']	1.0	8.0	class	M	0.3658127842949485	5.0	3.0	2770.0	0.6631553746708164	0.8043193717277487	0.5817289543223858	0.051639594805600326	0.013007164001464844
DSSD	abalone	['h']	['numeric']	1.0	8.0	class	M	0.3658127842949485	5.0	5.0	3338.0	0.7991381374192004	0.9168848167539267	0.7312193280483201	0.04307324060892072	0.783087968826294
fssd	abalone	['h', 'c']	['numeric', 'numeric']	2.0	8.0	class	M	0.3658127842949485	5.0	3.0	2684.0	0.6425664352406033	0.7964659685863874	0.5537938844847112	0.05629841679491455	0.2922091484069824
BSD	abalone	['h', 'c']	['numeric', 'numeric']	2.0	8.0	class	M	0.3658127842949485	5.0	5.0	2542.0	0.6085707445535073	0.7611256544502618	0.5205738014345036	0.05580653634719675	0.035315752029418945
DSSD	abalone	['h', 'c']	['numeric', 'numeric']	2.0	8.0	class	M	0.3658127842949485	5.0	5.0	3116.0	0.7459899449365573	0.8946335078534031	0.6602491506228766	0.0543757156181327	1.408264398574829
fssd	abalone	['h', 'c', 'b']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	M	0.3658127842949485	5.0	5.0	2725.0	0.6523820924108211	0.8134816753926701	0.5594563986409966	0.058932286999345274	2.210097551345825
BSD	abalone	['h', 'c', 'b']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	M	0.3658127842949485	5.0	5.0	2405.0	0.575772085228633	0.7284031413612565	0.4877312193280483	0.05583439161375359	0.10443830490112305
DSSD	abalone	['h', 'c', 'b']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	M	0.3658127842949485	5.0	5.0	2911.0	0.696911659085468	0.8429319371727748	0.6126840317100792	0.053416084490640364	2.2677488327026367
fssd	abalone	['h', 'c', 'b', 'a', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	M	0.3658127842949485	5.0	5.0	2541.0	0.608331338281063	0.793848167539267	0.5013212533031333	0.06786442784451419	64.83105826377869
BSD	abalone	['h', 'c', 'b', 'a', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	M	0.3658127842949485	5.0	5.0	2282.0	0.5463251137179794	0.7009162303664922	0.4571536428841072	0.05655140680845762	0.5334441661834717
DSSD	abalone	['h', 'c', 'b', 'a', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	M	0.3658127842949485	5.0	5.0	2499.0	0.5982762748384007	0.7657068062827225	0.5016987542468856	0.061248228883630254	3.4471688270568848
fssd	abalone	['h', 'c', 'b', 'a', 'f', 'g', 'e', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	M	0.3658127842949485	5.0	1.0	1635.0	0.3914292554464927	0.5215968586387435	0.31634579086447717	0.04761697334875728	1800.1097738742828
BSD	abalone	['h', 'c', 'b', 'a', 'f', 'g', 'e', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	M	0.3658127842949485	5.0	5.0	1782.0	0.4266219774958104	0.5680628272251309	0.34503586258965646	0.05174087105252615	3.603306531906128
DSSD	abalone	['h', 'c', 'b', 'a', 'f', 'g', 'e', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	M	0.3658127842949485	5.0	5.0	2614.0	0.6258079961694997	0.7918848167539267	0.5300113250283126	0.06075302414484188	8.184159517288208
MCTS4DM	abalone	['h']	['numeric']	1.0	8	class	M	0.3658127842949485	5.0	5.0	2769.0	0.6629159683983721	0.7801047120418848	0.5949414873537184	0.04295671847536088	0.3304629325866699
MCTS4DM	abalone	['h', 'c']	['numeric', 'numeric']	2.0	8	class	M	0.3658127842949485	5.0	5.0	2811.0	0.6729710318410342	0.7971204188481675	0.6009815024537561	0.04550301080469107	10.935317277908325
MCTS4DM	abalone	['h', 'c', 'b']	['numeric', 'numeric', 'numeric']	3.0	8	class	M	0.3658127842949485	5.0	5.0	2898.0	0.6937993775436917	0.8180628272251309	0.6217440543601359	0.04554473638916306	18.523768186569214
MCTS4DM	abalone	['h', 'c', 'b', 'a', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8	class	M	0.3658127842949485	5.0	5.0	2901.0	0.6945175963610246	0.8180628272251309	0.622876557191393	0.04528200276386144	24.900620937347412
MCTS4DM	abalone	['h', 'c', 'b', 'a', 'f', 'g', 'e', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8	class	M	0.3658127842949485	5.0	5.0	2899.0	0.6940387838161359	0.8180628272251309	0.6221215553038882	0.045457158514062526	39.83912777900696
CN2SD	abalone	['h']	['numeric']	1.0	-1.0	class	M	0.3658127842949485	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.2480001449584961
CN2SD	abalone	['h', 'c']	['numeric', 'numeric']	2.0	-1.0	class	M	0.3658127842949485	5.0	5.0	850.0	0.20339794209140943	0.28403141361256545	0.15704039260098152	0.029461128405385142	2.6529998779296875
CN2SD	abalone	['h', 'c', 'b']	['numeric', 'numeric', 'numeric']	3.0	-1.0	class	M	0.3658127842949485	5.0	5.0	625.0	0.14955731036133046	0.21596858638743455	0.11136277840694601	0.024267897968795103	6.888000011444092
CN2SD	abalone	['h', 'c', 'b', 'a', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	-1.0	class	M	0.3658127842949485	5.0	5.0	840.0	0.20100502512562815	0.30039267015706805	0.1438278595696489	0.03632206396749897	10.3989999294281
CN2SD	abalone	['h', 'c', 'b', 'a', 'f', 'g', 'e', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	-1.0	class	M	0.3658127842949485	5.0	5.0	1162.0	0.2780569514237856	0.4201570680628272	0.19630049075122688	0.05193333604243949	19.592000007629395
