method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	adult	['sex']	['simple']	1.0	8.0	salary	high50K	0.2408095574460244	5.0	1.0	21790.0	0.6692054912318418	0.8496365259533223	0.6119741100323625	0.04344951762080798	0.1556234359741211
BSD	adult	['sex']	['simple']	1.0	8.0	salary	high50K	0.2408095574460244	5.0	1.0	21790.0	0.6692054912318418	0.8496365259533223	0.6119741100323625	0.04344951762080798	0.015864849090576172
DSSD	adult	['sex']	['simple']	1.0	8.0	salary	high50K	0.2408095574460244	5.0	1.0	21790.0	0.6692054912318418	0.8496365259533223	0.6119741100323625	0.04344951762080798	0.5606381893157959
fssd	adult	['sex', 'race']	['simple', 'simple']	2.0	8.0	salary	high50K	0.2408095574460244	5.0	2.0	19867.0	0.6101471085040385	0.8062747098584364	0.5479368932038835	0.047229400885102836	0.2873966693878174
BSD	adult	['sex', 'race']	['simple', 'simple']	2.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	30778.0	0.9452412395196708	0.9862262466522127	0.9322411003236246	0.009869581429509573	0.0532987117767334
DSSD	adult	['sex', 'race']	['simple', 'simple']	2.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	20059.0	0.6160437333005743	0.8093355439357225	0.5547330097087378	0.04654651537699079	1.6190288066864014
fssd	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3.0	8.0	salary	high50K	0.2408095574460244	5.0	2.0	14760.0	0.4533030312336845	0.8497640607065425	0.3275485436893204	0.09547160505195418	0.4879734516143799
BSD	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	20428.0	0.6273763090814164	0.8390511414360413	0.5602346278317152	0.05097332270177864	0.11945366859436035
DSSD	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14761.0	0.45333374282116645	0.8497640607065425	0.327588996763754	0.09546420940816419	15.505565643310547
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	15168.0	0.4658333589263229	0.8617523275092462	0.3402508090614887	0.09534107160894022	1.7931289672851562
BSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14985.0	0.4602131384171248	0.8539727075628109	0.3353155339805825	0.0948210675861099	0.44645142555236816
DSSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14984.0	0.46018242682964283	0.8547379160821323	0.33503236245954693	0.09501273275479163	47.48512887954712
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	15581.0	0.4785172445563711	0.8891722994516006	0.34826051779935274	0.09888966203229306	7.750880479812622
BSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14985.0	0.4602131384171248	0.8539727075628109	0.3353155339805825	0.0948210675861099	8.292585372924805
DSSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	13831.0	0.42477196646294646	0.839943884708583	0.29308252427184467	0.09997736589674877	470.70405292510986
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric']	10.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	13780.0	0.4232056755013667	0.8748884070909323	0.27993527508090615	0.10876951870009471	228.60269951820374
BSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric']	10.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14985.0	0.4602131384171248	0.8539727075628109	0.3353155339805825	0.0948210675861099	8.156426906585693
DSSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric']	10.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	13831.0	0.42477196646294646	0.839943884708583	0.29308252427184467	0.09997736589674877	515.5796716213226
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8.0	salary	high50K	0.2408095574460244	5.0	1.0	10250.0	0.3147937716900587	0.6935339880117332	0.19466019417475727	0.09120426387943399	1804.4849557876587
BSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14985.0	0.4602131384171248	0.8539727075628109	0.3353155339805825	0.0948210675861099	10.715301990509033
DSSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	13831.0	0.42477196646294646	0.839943884708583	0.29308252427184467	0.09997736589674877	542.7485520839691
fssd	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week', 'capital_gain', 'fnlwgt']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	14.0	8.0	salary	high50K	0.2408095574460244	5.0	1.0	1218.0	0.03740671355302356	0.08277005483994389	0.02301779935275081	0.010923926139576252	1801.3160827159882
BSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week', 'capital_gain', 'fnlwgt']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	14.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	14985.0	0.4602131384171248	0.8539727075628109	0.3353155339805825	0.0948210675861099	13.579352617263794
DSSD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week', 'capital_gain', 'fnlwgt']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	14.0	8.0	salary	high50K	0.2408095574460244	5.0	5.0	13831.0	0.42477196646294646	0.839943884708583	0.29308252427184467	0.09997736589674877	584.8342463970184
MCTS4DM	adult	['sex']	['simple']	1.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	43.141932249069214
MCTS4DM	adult	['sex', 'race']	['simple', 'simple']	2.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	53.48550367355347
MCTS4DM	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	21.50839614868164
MCTS4DM	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	8.276165008544922
MCTS4DM	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	8.854796409606934
MCTS4DM	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric']	10.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	48.88587760925293
MCTS4DM	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.635885238647461
MCTS4DM	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week', 'capital_gain', 'fnlwgt']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	14.0	8	salary	high50K	0.2408095574460244	5.0	0.0	0.0	0.0	0.0	0.0	0.0	10.672181844711304
CN2SD	adult	['sex']	['simple']	1.0	-1.0	salary	high50K	0.2408095574460244	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.21300005912780762
CN2SD	adult	['sex', 'race']	['simple', 'simple']	2.0	-1.0	salary	high50K	0.2408095574460244	5.0	2.0	0.0	0.0	0.0	0.0	0.0	1.882000207901001
CN2SD	adult	['sex', 'race', 'relationship']	['simple', 'simple', 'simple']	3.0	-1.0	salary	high50K	0.2408095574460244	5.0	3.0	0.0	0.0	0.0	0.0	0.0	5.973999977111816
CN2SD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	-1.0	salary	high50K	0.2408095574460244	5.0	5.0	1581.0	0.04855203758867426	0.10419589338094631	0.030906148867313916	0.013398854140776866	25.693000078201294
CN2SD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	-1.0	salary	high50K	0.2408095574460244	5.0	5.0	4747.0	0.14577895157080123	0.4225226374186966	0.058009708737864076	0.0666403682566175	139.94299983978271
CN2SD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric']	10.0	-1.0	salary	high50K	0.2408095574460244	5.0	5.0	4437.0	0.13625894420047294	0.41193725290141564	0.04882686084142395	0.06638395607051349	154.07699990272522
CN2SD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	-1.0	salary	high50K	0.2408095574460244	5.0	5.0	32561.0	0.9999385805976108	1.0	1.0	0.0	179.22100019454956
CN2SD	adult	['sex', 'race', 'relationship', 'marital_status', 'workclas', 'occupation', 'education', 'native_country', 'education_num', 'age', 'capital_loss', 'hours_per_week', 'capital_gain', 'fnlwgt']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	14.0	-1.0	salary	high50K	0.2408095574460244	5.0	5.0	32561.0	0.9999385805976108	1.0	1.0	0.0	206.80599999427795
