method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	autos	['engine_location']	['simple']	1.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	3.0	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	0.0010104179382324219
BSD	autos	['engine_location']	['simple']	1.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	3.0	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	0.0071070194244384766
DSSD	autos	['engine_location']	['simple']	1.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	3.0	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	0.44864726066589355
fssd	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	3.0	0.015384615384615385	0.13043478260869565	0.0	0.013570019723865878	0.0013554096221923828
BSD	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2.0	8.0	symboling	3	0.11794871794871795	5.0	3.0	175.0	0.8974358974358975	1.0	0.8837209302325582	0.012097304404996711	0.009199380874633789
DSSD	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2.0	8.0	symboling	3	0.11794871794871795	5.0	3.0	175.0	0.8974358974358975	1.0	0.8837209302325582	0.012097304404996711	0.445324182510376
fssd	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3.0	8.0	symboling	3	0.11794871794871795	5.0	2.0	26.0	0.13333333333333333	0.4782608695652174	0.0872093023255814	0.040683760683760686	0.0021834373474121094
BSD	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	39.0	0.2	0.4782608695652174	0.16279069767441862	0.03282051282051282	0.013008356094360352
DSSD	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	39.0	0.2	0.4782608695652174	0.16279069767441862	0.03282051282051282	0.4682915210723877
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	78.0	0.4	1.0	0.31976744186046513	0.07076923076923076	0.00261688232421875
BSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	81.0	0.4153846153846154	1.0	0.3372093023255814	0.06895463510848127	0.045213937759399414
DSSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	77.0	0.39487179487179486	1.0	0.313953488372093	0.07137409598948061	0.4653761386871338
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	78.0	0.4	1.0	0.31976744186046513	0.07076923076923076	0.0049054622650146484
