method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	balance	['c']	['numeric']	1.0	8.0	class	B	0.0784	5.0	2.0	375.0	0.6	0.6326530612244898	0.5972222222222222	0.0025600000000000037	0.005089282989501953
BSD	balance	['c']	['numeric']	1.0	8.0	class	B	0.0784	5.0	3.0	375.0	0.6	0.6326530612244898	0.5972222222222222	0.0025600000000000037	0.009721755981445312
DSSD	balance	['c']	['numeric']	1.0	8.0	class	B	0.0784	5.0	5.0	500.0	0.8	0.8163265306122449	0.7986111111111112	0.0012799999999999977	0.49387669563293457
fssd	balance	['c', 'd']	['numeric', 'numeric']	2.0	8.0	class	B	0.0784	5.0	5.0	500.0	0.8	0.8775510204081632	0.7934027777777778	0.006079999999999998	0.035128116607666016
BSD	balance	['c', 'd']	['numeric', 'numeric']	2.0	8.0	class	B	0.0784	5.0	5.0	275.0	0.44	0.5102040816326531	0.4340277777777778	0.005504	0.02669382095336914
DSSD	balance	['c', 'd']	['numeric', 'numeric']	2.0	8.0	class	B	0.0784	5.0	5.0	400.0	0.64	0.6938775510204082	0.6354166666666666	0.004224000000000002	0.5070626735687256
fssd	balance	['c', 'd', 'b']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	B	0.0784	5.0	5.0	385.0	0.616	0.8979591836734694	0.5920138888888888	0.022105600000000003	0.12329387664794922
BSD	balance	['c', 'd', 'b']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	B	0.0784	5.0	5.0	125.0	0.2	0.5102040816326531	0.1736111111111111	0.02432	0.07337474822998047
DSSD	balance	['c', 'd', 'b']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	B	0.0784	5.0	5.0	270.0	0.432	0.5102040816326531	0.4253472222222222	0.006131200000000002	0.5306508541107178
fssd	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4.0	8.0	class	B	0.0784	5.0	5.0	333.0	0.5328	0.9591836734693877	0.4965277777777778	0.033428479999999997	0.26433444023132324
BSD	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4.0	8.0	class	B	0.0784	5.0	5.0	115.0	0.184	0.46938775510204084	0.1597222222222222	0.022374400000000003	0.10886263847351074
DSSD	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4.0	8.0	class	B	0.0784	5.0	5.0	144.0	0.2304	0.5306122448979592	0.2048611111111111	0.023536640000000005	0.5834026336669922
MCTS4DM	balance	['c']	['numeric']	1.0	8	class	B	0.0784	5.0	3.0	625.0	1.0	0.9795918367346939	1.0	-0.0014745600000000017	0.11883115768432617
MCTS4DM	balance	['c', 'd']	['numeric', 'numeric']	2.0	8	class	B	0.0784	5.0	5.0	400.0	0.64	0.6530612244897959	0.6388888888888888	0.0010239999999999997	0.19235873222351074
MCTS4DM	balance	['c', 'd', 'b']	['numeric', 'numeric', 'numeric']	3.0	8	class	B	0.0784	5.0	5.0	465.0	0.744	0.8163265306122449	0.7361111111111112	0.005795839999999998	0.5137283802032471
MCTS4DM	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4.0	8	class	B	0.0784	5.0	5.0	460.0	0.736	0.7551020408163265	0.7326388888888888	0.00162304	3.8890795707702637
CN2SD	balance	['c']	['numeric']	1.0	-1.0	class	B	0.0784	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.14999985694885254
CN2SD	balance	['c', 'd']	['numeric', 'numeric']	2.0	-1.0	class	B	0.0784	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.49700021743774414
CN2SD	balance	['c', 'd', 'b']	['numeric', 'numeric', 'numeric']	3.0	-1.0	class	B	0.0784	5.0	5.0	0.0	0.0	0.0	0.0	0.0	1.3940000534057617
CN2SD	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4.0	-1.0	class	B	0.0784	5.0	5.0	0.0	0.0	0.0	0.0	0.0	8.621000051498413
