method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	breastCancer	['Mitoses']	['numeric']	1.0	8.0	Class	4	0.34992679355783307	5.0	1.0	120.0	0.17569546120058566	0.4476987447698745	0.02927927927927928	0.09518123685660326	0.005675554275512695
BSD	breastCancer	['Mitoses']	['numeric']	1.0	8.0	Class	4	0.34992679355783307	5.0	3.0	120.0	0.17569546120058566	0.4476987447698745	0.02927927927927928	0.09518123685660326	0.011739253997802734
DSSD	breastCancer	['Mitoses']	['numeric']	1.0	8.0	Class	4	0.34992679355783307	5.0	5.0	120.0	0.17569546120058566	0.4476987447698745	0.02927927927927928	0.09518123685660326	0.48215603828430176
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size']	['numeric', 'numeric']	2.0	8.0	Class	4	0.34992679355783307	5.0	2.0	267.0	0.39092240117130306	0.9581589958158996	0.08558558558558559	0.19849128275264796	0.018319368362426758
BSD	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size']	['numeric', 'numeric']	2.0	8.0	Class	4	0.34992679355783307	5.0	5.0	269.0	0.3938506588579795	0.9539748953974896	0.09234234234234234	0.1960024780863	0.02232956886291504
DSSD	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size']	['numeric', 'numeric']	2.0	8.0	Class	4	0.34992679355783307	5.0	5.0	310.0	0.4538799414348463	0.9832635983263598	0.16891891891891891	0.18524552561796742	0.5228433609008789
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape']	['numeric', 'numeric', 'numeric']	3.0	8.0	Class	4	0.34992679355783307	5.0	2.0	265.0	0.38799414348462663	0.9832635983263598	0.06756756756756757	0.208300731635687	0.04267454147338867
BSD	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape']	['numeric', 'numeric', 'numeric']	3.0	8.0	Class	4	0.34992679355783307	5.0	5.0	176.0	0.25768667642752563	0.7154811715481172	0.01126126126126126	0.16019455978597566	0.034340858459472656
DSSD	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape']	['numeric', 'numeric', 'numeric']	3.0	8.0	Class	4	0.34992679355783307	5.0	5.0	359.0	0.5256222547584187	0.9916317991631799	0.2747747747747748	0.1630692256409047	0.6060812473297119
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape', 'Single_Epithelial_Cell_Size', 'Marginal_Adhesion']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	Class	4	0.34992679355783307	5.0	4.0	263.0	0.3850658857979502	0.9874476987447699	0.060810810810810814	0.21078953630203498	0.15774226188659668
