method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	dermatology	['k']	['numeric']	1.0	8.0	class	3	0.19832402234636873	5.0	1.0	314.0	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	0.0015594959259033203
BSD	dermatology	['k']	['numeric']	1.0	8.0	class	3	0.19832402234636873	5.0	1.0	314.0	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	0.006921291351318359
DSSD	dermatology	['k']	['numeric']	1.0	8.0	class	3	0.19832402234636873	5.0	1.0	314.0	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	0.45891332626342773
fssd	dermatology	['k', 'm']	['numeric', 'numeric']	2.0	8.0	class	3	0.19832402234636873	5.0	1.0	314.0	0.8770949720670391	1.0	0.8466898954703833	0.024375019506257607	0.0026574134826660156
BSD	dermatology	['k', 'm']	['numeric', 'numeric']	2.0	8.0	class	3	0.19832402234636873	5.0	5.0	315.0	0.8798882681564246	1.0	0.8501742160278746	0.0238210417902063	0.00971078872680664
DSSD	dermatology	['k', 'm']	['numeric', 'numeric']	2.0	8.0	class	3	0.19832402234636873	5.0	4.0	315.0	0.8798882681564246	1.0	0.8501742160278746	0.0238210417902063	0.4709055423736572
fssd	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	3	0.19832402234636873	5.0	1.0	184.0	0.5139664804469274	1.0	0.39372822299651566	0.09639212259292783	0.003872394561767578
BSD	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	3	0.19832402234636873	5.0	5.0	325.0	0.9078212290502793	1.0	0.8850174216027874	0.018281264629693216	0.016419172286987305
DSSD	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	3	0.19832402234636873	5.0	5.0	214.0	0.5977653631284916	1.0	0.49825783972125437	0.07977279111138855	0.4627349376678467
fssd	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	3	0.19832402234636873	5.0	2.0	72.0	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	0.008440494537353516
BSD	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	3	0.19832402234636873	5.0	5.0	184.0	0.5139664804469274	1.0	0.39372822299651566	0.09639212259292783	0.0358273983001709
DSSD	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	3	0.19832402234636873	5.0	5.0	217.0	0.6061452513966481	1.0	0.5087108013937283	0.07811085796323461	0.48483967781066895
