method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	glass	['Fe']	['numeric']	1.0	8.0	class	3	0.0794392523364486	5.0	5.0	170.0	0.794392523364486	1.0	0.7766497461928934	0.016333304218709058	0.005021810531616211
BSD	glass	['Fe']	['numeric']	1.0	8.0	class	3	0.0794392523364486	5.0	1.0	144.0	0.6728971962616822	0.7058823529411765	0.6700507614213198	0.002620316184819637	0.010227441787719727
DSSD	glass	['Fe']	['numeric']	1.0	8.0	class	3	0.0794392523364486	5.0	5.0	165.0	0.7710280373831776	0.8823529411764706	0.7614213197969543	0.008843567123766268	0.455735445022583
fssd	glass	['Fe', 'Ba']	['numeric', 'numeric']	2.0	8.0	class	3	0.0794392523364486	5.0	4.0	141.0	0.6588785046728972	1.0	0.6294416243654822	0.027098436544676387	0.007257938385009766
BSD	glass	['Fe', 'Ba']	['numeric', 'numeric']	2.0	8.0	class	3	0.0794392523364486	5.0	5.0	205.0	0.9579439252336449	1.0	0.9543147208121827	0.003340903135645036	0.018916606903076172
DSSD	glass	['Fe', 'Ba']	['numeric', 'numeric']	2.0	8.0	class	3	0.0794392523364486	5.0	5.0	197.0	0.9205607476635514	1.0	0.9137055837563451	0.006310594811773956	0.475231409072876
fssd	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	3	0.0794392523364486	5.0	1.0	116.0	0.5420560747663551	0.8823529411764706	0.5126903553299492	0.0270329286400559	0.013568878173828125
BSD	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	3	0.0794392523364486	5.0	5.0	144.0	0.6728971962616822	0.8823529411764706	0.6548223350253807	0.01663900777360468	0.034986257553100586
DSSD	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	3	0.0794392523364486	5.0	5.0	141.0	0.6588785046728972	1.0	0.6294416243654822	0.027098436544676387	0.5555942058563232
fssd	glass	['Fe', 'Ba', 'K', 'Mg', 'Al']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	3	0.0794392523364486	5.0	2.0	90.0	0.4205607476635514	1.0	0.37055837563451777	0.046030220979998246	0.06111550331115723
BSD	glass	['Fe', 'Ba', 'K', 'Mg', 'Al']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	3	0.0794392523364486	5.0	5.0	64.0	0.29906542056074764	0.7058823529411765	0.2639593908629442	0.03231723294610883	0.09688448905944824
