method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	haberman	['b']	['numeric']	1.0	8.0	class	2	0.2647058823529412	5.0	3.0	136.0	0.4444444444444444	0.5555555555555556	0.40444444444444444	0.02941176470588236	0.006859540939331055
BSD	haberman	['b']	['numeric']	1.0	8.0	class	2	0.2647058823529412	5.0	3.0	148.0	0.48366013071895425	0.5925925925925926	0.4444444444444444	0.02883506343713956	0.01138448715209961
DSSD	haberman	['b']	['numeric']	1.0	8.0	class	2	0.2647058823529412	5.0	5.0	152.0	0.49673202614379086	0.6172839506172839	0.4533333333333333	0.031910803537101115	0.4577655792236328
fssd	haberman	['b', 'c']	['numeric', 'numeric']	2.0	8.0	class	2	0.2647058823529412	5.0	2.0	146.0	0.477124183006536	0.7283950617283951	0.38666666666666666	0.06651287966166859	0.032625436782836914
BSD	haberman	['b', 'c']	['numeric', 'numeric']	2.0	8.0	class	2	0.2647058823529412	5.0	5.0	165.0	0.5392156862745098	0.7901234567901234	0.4488888888888889	0.06641676278354479	0.024287700653076172
DSSD	haberman	['b', 'c']	['numeric', 'numeric']	2.0	8.0	class	2	0.2647058823529412	5.0	5.0	170.0	0.5555555555555556	0.7654320987654321	0.48	0.05555555555555555	0.5268247127532959
fssd	haberman	['b', 'c', 'a']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	2	0.2647058823529412	5.0	5.0	151.0	0.4934640522875817	0.8518518518518519	0.36444444444444446	0.09486735870818916	0.3331906795501709
BSD	haberman	['b', 'c', 'a']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	2	0.2647058823529412	5.0	5.0	187.0	0.6111111111111112	0.8518518518518519	0.5244444444444445	0.06372549019607843	0.054210662841796875
DSSD	haberman	['b', 'c', 'a']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	2	0.2647058823529412	5.0	5.0	137.0	0.4477124183006536	0.7160493827160493	0.3511111111111111	0.07103037293348712	0.5575428009033203
MCTS4DM	haberman	['b']	['numeric']	1.0	8	class	2	0.2647058823529412	5.0	5.0	186.0	0.6078431372549019	0.654320987654321	0.5866666666666667	0.013168012302960403	0.1317272186279297
MCTS4DM	haberman	['b', 'c']	['numeric', 'numeric']	2.0	8	class	2	0.2647058823529412	5.0	5.0	124.0	0.40522875816993464	0.5679012345679012	0.3466666666666667	0.04306036139946174	1.962810754776001
MCTS4DM	haberman	['b', 'c', 'a']	['numeric', 'numeric', 'numeric']	3.0	8	class	2	0.2647058823529412	5.0	5.0	162.0	0.5294117647058824	0.6172839506172839	0.49333333333333335	0.024125336409073425	5.419706106185913
CN2SD	haberman	['b']	['numeric']	1.0	-1.0	class	2	0.2647058823529412	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.15000009536743164
CN2SD	haberman	['b', 'c']	['numeric', 'numeric']	2.0	-1.0	class	2	0.2647058823529412	5.0	5.0	49.0	0.1590909090909091	0.38271604938271603	0.08	0.0589196462898885	0.6640000343322754
CN2SD	haberman	['b', 'c', 'a']	['numeric', 'numeric', 'numeric']	3.0	-1.0	class	2	0.2647058823529412	5.0	5.0	306.0	0.9935064935064936	1.0	1.0	0.0	3.924999952316284
