method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2.0	8.0	edible	p	0.48202855736090594	5.0	1.0	4748.0	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	0.04535412788391113
BSD	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2.0	8.0	edible	p	0.48202855736090594	5.0	2.0	4748.0	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	0.01153564453125
DSSD	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2.0	8.0	edible	p	0.48202855736090594	5.0	1.0	4748.0	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	0.5014007091522217
fssd	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3.0	8.0	edible	p	0.48202855736090594	5.0	2.0	5108.0	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	0.06676673889160156
BSD	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3.0	8.0	edible	p	0.48202855736090594	5.0	5.0	5108.0	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	0.018401145935058594
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3.0	8.0	edible	p	0.48202855736090594	5.0	5.0	5108.0	0.6287543082225505	0.9080694586312564	0.3688212927756654	0.13463787900055296	0.5101008415222168
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	edible	p	0.48202855736090594	5.0	3.0	3738.0	0.4601181683899557	0.9014300306435138	0.049429657794676805	0.21272492030833745	0.12966609001159668
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	edible	p	0.48202855736090594	5.0	5.0	4748.0	0.5844411619891678	0.8406537282941777	0.34600760456273766	0.12350177371373933	0.046796321868896484
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3330.0	0.4098966026587888	0.8094994892747702	0.03802281368821293	0.19262000295275516	0.6211352348327637
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	edible	p	0.48202855736090594	5.0	4.0	3884.0	0.47808961102904973	0.9448416751787538	0.043726235741444866	0.22498782412730686	0.29405713081359863
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3540.0	0.4357459379615953	0.8140960163432074	0.08365019011406843	0.18237554245967413	0.23571443557739258
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3266.0	0.40201870999507633	0.8094994892747702	0.022813688212927757	0.19641737218848856	1.9259099960327148
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	10.0	8.0	edible	p	0.48202855736090594	5.0	4.0	4016.0	0.49433776464795665	0.9816138917262512	0.0408745247148289	0.2348810085719598	0.4600987434387207
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	10.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3540.0	0.4357459379615953	0.8140960163432074	0.08365019011406843	0.18237554245967413	0.4581418037414551
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	10.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3574.0	0.4399310684391925	0.8360572012257406	0.07129277566539924	0.1909441083200544	4.021234750747681
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	12.0	8.0	edible	p	0.48202855736090594	5.0	5.0	4120.0	0.5071393402264894	1.0	0.04847908745247148	0.23757291281056958	0.6335411071777344
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	12.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3348.0	0.4121122599704579	0.8140960163432074	0.03802281368821293	0.19376765016687428	0.964658260345459
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	12.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3316.0	0.40817331363860165	0.8406537282941777	0.005703422053231939	0.20846791036327372	5.275015830993652
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	15.0	8.0	edible	p	0.48202855736090594	5.0	5.0	4100.0	0.5046774987690793	1.0	0.043726235741444866	0.23875959069673625	1.1087238788604736
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	15.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3348.0	0.4121122599704579	0.8140960163432074	0.03802281368821293	0.19376765016687428	2.7829341888427734
