method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	sonar	['bh']	['numeric']	1.0	8.0	class	R	0.46634615384615385	5.0	1.0	82.0	0.3942307692307692	0.4639175257731959	0.3333333333333333	0.032498150887573976	0.0036263465881347656
BSD	sonar	['bh']	['numeric']	1.0	8.0	class	R	0.46634615384615385	5.0	2.0	83.0	0.39903846153846156	0.4536082474226804	0.35135135135135137	0.025448409763313605	0.011207818984985352
DSSD	sonar	['bh']	['numeric']	1.0	8.0	class	R	0.46634615384615385	5.0	5.0	78.0	0.375	0.44329896907216493	0.3153153153153153	0.031850961538461536	0.4662201404571533
fssd	sonar	['bh', 'bg']	['numeric', 'numeric']	2.0	8.0	class	R	0.46634615384615385	5.0	5.0	144.0	0.6923076923076923	0.8350515463917526	0.5675675675675675	0.06656804733727813	0.040096282958984375
BSD	sonar	['bh', 'bg']	['numeric', 'numeric']	2.0	8.0	class	R	0.46634615384615385	5.0	5.0	113.0	0.5432692307692307	0.6494845360824743	0.45045045045045046	0.049533099112426045	0.027628660202026367
DSSD	sonar	['bh', 'bg']	['numeric', 'numeric']	2.0	8.0	class	R	0.46634615384615385	5.0	5.0	130.0	0.625	0.7319587628865979	0.5315315315315315	0.04987980769230768	0.5458416938781738
fssd	sonar	['bh', 'bg', 'be']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	R	0.46634615384615385	5.0	5.0	118.0	0.5673076923076923	0.8041237113402062	0.36036036036036034	0.11043823964497043	0.5208349227905273
BSD	sonar	['bh', 'bg', 'be']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	R	0.46634615384615385	5.0	5.0	113.0	0.5432692307692307	0.6494845360824743	0.45045045045045046	0.049533099112426045	0.07053780555725098
DSSD	sonar	['bh', 'bg', 'be']	['numeric', 'numeric', 'numeric']	3.0	8.0	class	R	0.46634615384615385	5.0	5.0	79.0	0.3798076923076923	0.5257731958762887	0.25225225225225223	0.06807045118343197	0.609628438949585
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	R	0.46634615384615385	5.0	5.0	140.0	0.6730769230769231	0.9381443298969072	0.44144144144144143	0.12361316568047338	10.842888116836548
BSD	sonar	['bh', 'bg', 'be', 'bd', 'bf']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	R	0.46634615384615385	5.0	5.0	109.0	0.5240384615384616	0.6288659793814433	0.43243243243243246	0.0488859097633136	0.1973114013671875
DSSD	sonar	['bh', 'bg', 'be', 'bd', 'bf']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8.0	class	R	0.46634615384615385	5.0	5.0	113.0	0.5432692307692307	0.711340206185567	0.3963963963963964	0.07837925295857989	0.7369134426116943
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	R	0.46634615384615385	5.0	5.0	127.0	0.6105769230769231	0.9381443298969072	0.32432432432432434	0.15275980029585798	196.20057773590088
BSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	R	0.46634615384615385	5.0	5.0	122.0	0.5865384615384616	0.6907216494845361	0.4954954954954955	0.048585428994082844	0.4565417766571045
DSSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8.0	class	R	0.46634615384615385	5.0	5.0	163.0	0.7836538461538461	0.9381443298969072	0.6486486486486487	0.07204604289940827	1.1615004539489746
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8.0	class	R	0.46634615384615385	5.0	5.0	128.0	0.6153846153846154	0.9690721649484536	0.3063063063063063	0.16494082840236687	936.4776790142059
BSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8.0	class	R	0.46634615384615385	5.0	5.0	136.0	0.6538461538461539	0.8144329896907216	0.5135135135135135	0.07488905325443787	0.7123029232025146
DSSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8.0	class	R	0.46634615384615385	5.0	5.0	117.0	0.5625	0.7938144329896907	0.36036036036036034	0.10787259615384615	1.2116291522979736
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8.0	class	R	0.46634615384615385	5.0	1.0	94.0	0.4519230769230769	0.6391752577319587	0.2882882882882883	0.08732433431952662	1800.090503692627
BSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8.0	class	R	0.46634615384615385	5.0	5.0	129.0	0.6201923076923077	0.7938144329896907	0.46846846846846846	0.08096801035502958	0.9007565975189209
DSSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8.0	class	R	0.46634615384615385	5.0	5.0	117.0	0.5625	0.7938144329896907	0.36036036036036034	0.10787259615384615	1.4562170505523682
fssd	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a', 'd', 'b', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	R	0.46634615384615385	5.0	1.0	38.0	0.18269230769230768	0.32989690721649484	0.05405405405405406	0.06864829881656805	1800.032245874405
BSD	sonar	['bh', 'bg', 'be', 'bd', 'bf', 'bc', 'ba', 'bb', 'az', 'ax', 'ay', 'a', 'd', 'b', 'c']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	R	0.46634615384615385	5.0	5.0	125.0	0.6009615384615384	0.7835051546391752	0.44144144144144143	0.08512851331360947	1.2383615970611572
