sg;quality;size;#conditions;description
1;0.18222;68;2;b < 1.90000 && b > 0.40000
2;0.16889;68;2;b > 0.20000 && b < 1.70000
3;0.16222;44;2;b > 1.15000 && b < 1.80000
4;0.15111;82;2;b < 1.90000 && b > 0.20000
5;0.14000;87;2;b > 0.20000 && b < 2.00000
6;0.13111;61;2;b > 1.15000 && b < 2.00000
7;0.12667;33;2;b > 1.25000 && b < 1.60000
8;0.12222;29;2;b < 1.50000 && b > 1.00000
9;0.12000;51;2;b > 1.25000 && b < 1.85000
10;0.11778;52;2;b < 1.50000 && b > 0.20000
11;0.11778;52;2;b < 1.50000 && b > 0.25000
12;0.11778;67;2;b > 1.15000 && b < 2.10000
13;0.10889;26;2;b > 1.15000 && b < 1.50000
14;0.10889;56;2;b > 1.25000 && b < 1.95000
15;0.09556;104;2;b < 1.90000 && b < 1.80000
16;0.08889;44;2;b > 0.20000 && b < 1.40000
17;0.08222;113;2;b > 0.20000 && b < 2.50000
18;0.08222;68;2;b > 1.25000 && b < 2.15000
19;0.08000;93;2;b > 0.20000 && b > 1.05000
20;0.08000;18;2;b > 1.15000 && b < 1.35000
21;0.07556;116;1;b > 0.20000
22;0.07556;116;1;b < 1.90000
23;0.06667;90;1;b > 1.15000
24;0.06222;38;2;b < 1.90000 && b > 1.30000
25;0.05778;13;2;b > 1.25000 && b < 1.40000
26;0.04444;85;1;b > 1.25000
27;0.04222;86;1;b < 1.50000
28;0.04222;86;2;b < 1.90000 && b < 1.50000
29;0.02889;8;2;b < 1.50000 && b > 1.30000
30;0.01333;78;2;b < 1.50000 && b < 1.40000
31;-0.00444;23;2;b > 0.20000 && b < 1.05000
32;-0.00667;18;2;b < 1.90000 && b > 1.50000
33;-0.01333;72;2;b > 1.15000 && b > 1.35000
34;-0.01333;6;1;b < 0.20000
35;-0.01333;6;2;b < 1.90000 && b < 0.20000
36;-0.01333;6;2;b < 1.50000 && b < 0.20000
37;-0.03778;17;2;b > 1.15000 && b > 2.10000
38;-0.03778;17;2;b > 1.25000 && b > 2.15000
39;-0.04222;64;2;b > 0.20000 && b > 1.40000
40;-0.04222;64;2;b > 1.25000 && b > 1.40000
41;-0.04444;65;1;b < 1.25000
42;-0.04444;65;2;b < 1.90000 && b < 1.30000
43;-0.04444;65;2;b < 1.50000 && b < 1.30000
44;-0.05111;23;2;b > 0.20000 && b > 2.00000
45;-0.05111;23;2;b > 1.15000 && b > 2.00000
46;-0.06444;29;1;b > 1.90000
47;-0.06444;29;2;b > 1.25000 && b > 1.95000
48;-0.06667;60;1;b < 1.15000
49;-0.07556;34;2;b > 1.15000 && b > 1.80000
50;-0.07556;34;2;b < 1.50000 && b < 0.25000
51;-0.07556;34;2;b > 1.25000 && b > 1.85000
52;-0.08222;52;1;b > 1.50000
53;-0.08222;52;2;b > 1.15000 && b > 1.50000
54;-0.09111;41;2;b < 1.90000 && b < 0.40000
55;-0.09333;48;2;b > 1.25000 && b > 1.60000
56;-0.09556;46;2;b > 0.20000 && b > 1.70000
57;-0.11111;50;2;b < 1.50000 && b < 1.00000
