sg;quality;size;#conditions;description
1;0.20667;54;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000
2;0.20444;52;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000
3;0.20222;56;3;b < 1.90000 && b > 0.40000 && b < 1.80000
4;0.20222;56;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000
5;0.20222;56;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000
6;0.20222;56;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000
7;0.20222;56;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000
8;0.20222;56;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000
9;0.20000;54;3;b > 0.20000 && b < 1.70000 && b > 0.40000
10;0.20000;54;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000
11;0.20000;54;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000
12;0.20000;54;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000
13;0.20000;54;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000
14;0.20000;54;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000
15;0.19333;48;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000
16;0.19333;48;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000
17;0.18889;50;3;b < 1.90000 && b > 0.40000 && b < 1.60000
18;0.18889;50;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.55000
19;0.18889;50;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.55000
20;0.18889;50;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.55000
21;0.18889;50;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000
22;0.18889;50;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000
23;0.18889;50;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000
24;0.18889;50;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000
25;0.18889;50;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000
26;0.18889;50;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000 && b < 1.55000
27;0.18667;66;3;b < 1.90000 && b > 0.20000 && b > 0.80000
28;0.18222;68;2;b < 1.90000 && b > 0.40000
29;0.17111;70;3;b < 1.90000 && b > 0.20000 && b < 1.80000
30;0.17111;70;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000
31;0.17111;70;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000
32;0.17111;70;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000
33;0.17111;70;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000
34;0.17111;70;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000
35;0.16889;68;2;b > 0.20000 && b < 1.70000
36;0.16889;68;3;b > 0.20000 && b < 2.00000 && b < 1.65000
37;0.16222;44;2;b > 1.15000 && b < 1.80000
38;0.16222;44;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.10000
39;0.16222;44;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b > 1.15000
40;0.16222;44;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b > 1.10000
41;0.16222;44;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000
42;0.16222;44;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.10000
43;0.16222;44;8;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.10000
44;0.16000;42;3;b > 0.20000 && b < 1.70000 && b > 1.15000
45;0.16000;42;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.10000
46;0.16000;42;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b > 1.15000
47;0.16000;42;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b > 1.10000
