h	c	b	a	f	g	e	d	class
15.0	0.095	0.365	0.455	0.101	0.15	0.2245	0.514	M
7.0	0.09	0.265	0.35	0.0485	0.07	0.0995	0.2255	M
9.0	0.135	0.42	0.53	0.1415	0.21	0.2565	0.677	F
10.0	0.125	0.365	0.44	0.114	0.155	0.2155	0.516	M
7.0	0.08	0.255	0.33	0.0395	0.055	0.0895	0.205	I
8.0	0.095	0.3	0.425	0.0775	0.12	0.141	0.3515	I
20.0	0.15	0.415	0.53	0.1415	0.33	0.237	0.7775	F
16.0	0.125	0.425	0.545	0.1495	0.26	0.294	0.768	F
9.0	0.125	0.37	0.475	0.1125	0.165	0.2165	0.5095	M
19.0	0.15	0.44	0.55	0.151	0.32	0.3145	0.8945	F
14.0	0.14	0.38	0.525	0.1475	0.21	0.194	0.6065	F
10.0	0.11	0.35	0.43	0.081	0.135	0.1675	0.406	M
11.0	0.135	0.38	0.49	0.095	0.19	0.2175	0.5415	M
10.0	0.145	0.405	0.535	0.171	0.205	0.2725	0.6845	F
10.0	0.1	0.355	0.47	0.0805	0.185	0.1675	0.4755	F
12.0	0.13	0.4	0.5	0.133	0.24	0.258	0.6645	M
7.0	0.085	0.28	0.355	0.0395	0.115	0.095	0.2905	I
10.0	0.1	0.34	0.44	0.087	0.13	0.188	0.451	F
7.0	0.08	0.295	0.365	0.043	0.1	0.097	0.2555	M
9.0	0.1	0.32	0.45	0.075	0.115	0.1705	0.381	M
11.0	0.095	0.28	0.355	0.062	0.075	0.0955	0.2455	M
10.0	0.1	0.275	0.38	0.049	0.085	0.08	0.2255	I
12.0	0.155	0.44	0.565	0.214	0.27	0.4275	0.9395	F
9.0	0.135	0.415	0.55	0.21	0.2	0.318	0.7635	F
10.0	0.165	0.48	0.615	0.301	0.305	0.513	1.1615	F
11.0	0.14	0.44	0.56	0.188	0.3	0.3825	0.9285	F
11.0	0.185	0.45	0.58	0.272	0.285	0.3945	0.9955	F
12.0	0.14	0.445	0.59	0.234	0.28	0.356	0.931	M
15.0	0.18	0.475	0.605	0.219	0.295	0.394	0.9365	M
11.0	0.14	0.425	0.575	0.227	0.2	0.393	0.8635	M
10.0	0.165	0.47	0.58	0.242	0.33	0.3935	0.9975	M
15.0	0.165	0.56	0.68	0.2805	0.46	0.6055	1.639	F
18.0	0.165	0.525	0.665	0.3575	0.35	0.5515	1.338	M
19.0	0.175	0.55	0.68	0.3925	0.455	0.815	1.798	F
13.0	0.2	0.55	0.705	0.4115	0.49	0.633	1.7095	F
8.0	0.105	0.355	0.465	0.124	0.125	0.227	0.4795	M
16.0	0.155	0.475	0.54	0.3075	0.34	0.5305	1.217	F
8.0	0.105	0.355	0.45	0.1165	0.145	0.237	0.5225	F
11.0	0.135	0.445	0.575	0.2035	0.26	0.381	0.883	F
9.0	0.09	0.29	0.355	0.086	0.09	0.134	0.3275	M
9.0	0.105	0.335	0.45	0.091	0.115	0.1865	0.425	F
14.0	0.135	0.425	0.55	0.196	0.27	0.362	0.8515	F
5.0	0.045	0.175	0.24	0.0235	0.02	0.0315	0.07	I
5.0	0.055	0.15	0.205	0.015	0.012	0.0255	0.042	I
4.0	0.05	0.15	0.21	0.0125	0.015	0.0175	0.042	I
7.0	0.095	0.295	0.39	0.045	0.075	0.0875	0.203	I
9.0	0.12	0.37	0.47	0.227	0.14	0.293	0.5795	M
7.0	0.12	0.375	0.46	0.11	0.15	0.1775	0.4605	F
6.0	0.07	0.245	0.325	0.0255	0.045	0.0755	0.161	I
9.0	0.16	0.425	0.525	0.2135	0.245	0.3545	0.8355	F
8.0	0.12	0.41	0.52	0.111	0.19	0.2385	0.595	I
7.0	0.095	0.32	0.4	0.06	0.1	0.1335	0.303	M
10.0	0.13	0.36	0.485	0.096	0.16	0.2595	0.5415	M
10.0	0.12	0.36	0.47	0.1055	0.15	0.2105	0.4775	F
7.0	0.1	0.31	0.405	0.0915	0.11	0.173	0.385	M
8.0	0.14	0.4	0.5	0.1755	0.22	0.2565	0.6615	F
8.0	0.12	0.35	0.445	0.0955	0.135	0.192	0.4425	M
8.0	0.135	0.385	0.47	0.12	0.17	0.2765	0.5895	M
4.0	0.06	0.19	0.245	0.014	0.025	0.042	0.086	I
7.0	0.125	0.4	0.505	0.13	0.175	0.246	0.583	F
7.0	0.105	0.345	0.45	0.1125	0.135	0.18	0.4115	M
9.0	0.11	0.405	0.505	0.16	0.175	0.305	0.625	M
10.0	0.13	0.41	0.53	0.1935	0.2	0.302	0.6965	F
7.0	0.095	0.325	0.425	0.08	0.1	0.1705	0.3785	M
8.0	0.12	0.4	0.52	0.1315	0.185	0.234	0.58	M
8.0	0.12	0.355	0.475	0.1015	0.135	0.234	0.48	M
12.0	0.16	0.44	0.565	0.1935	0.32	0.354	0.915	F
13.0	0.185	0.495	0.595	0.224	0.485	0.416	1.285	F
10.0	0.12	0.39	0.475	0.1155	0.17	0.2135	0.5305	F
6.0	0.07	0.235	0.31	0.0405	0.045	0.063	0.151	I
13.0	0.13	0.425	0.555	0.168	0.275	0.264	0.7665	M
8.0	0.11	0.32	0.4	0.0985	0.1	0.1405	0.353	F
20.0	0.17	0.475	0.595	0.225	0.425	0.48	1.247	F
11.0	0.175	0.48	0.57	0.261	0.38	0.474	1.185	M
13.0	0.195	0.45	0.605	0.2895	0.315	0.481	1.098	F
15.0	0.15	0.475	0.6	0.221	0.28	0.4425	1.0075	F
9.0	0.14	0.475	0.595	0.189	0.315	0.3625	0.944	M
10.0	0.15	0.47	0.6	0.194	0.305	0.363	0.922	F
11.0	0.14	0.425	0.555	0.1595	0.285	0.282	0.788	F
14.0	0.17	0.475	0.615	0.2355	0.345	0.4695	1.1025	F
9.0	0.14	0.445	0.575	0.252	0.285	0.3845	0.941	F
12.0	0.175	0.51	0.62	0.192	0.675	0.5105	1.615	M
16.0	0.165	0.425	0.52	0.225	0.32	0.396	0.9885	F
21.0	0.16	0.475	0.595	0.234	0.58	0.408	1.3175	M
14.0	0.14	0.45	0.58	0.216	0.36	0.38	1.013	M
12.0	0.18	0.465	0.57	0.2225	0.44	0.339	1.295	F
13.0	0.14	0.465	0.625	0.205	0.4	0.4825	1.195	M
10.0	0.16	0.44	0.56	0.2075	0.26	0.3305	0.8645	M
9.0	0.13	0.355	0.46	0.114	0.165	0.2205	0.517	F
12.0	0.16	0.45	0.575	0.231	0.33	0.3135	0.9775	F
15.0	0.135	0.425	0.565	0.1675	0.255	0.341	0.8115	M
12.0	0.15	0.44	0.555	0.1525	0.26	0.307	0.755	M
13.0	0.175	0.465	0.595	0.254	0.39	0.4015	1.115	M
10.0	0.165	0.495	0.625	0.318	0.39	0.507	1.262	F
15.0	0.19	0.56	0.695	0.3425	0.485	0.588	1.494	M
14.0	0.195	0.535	0.665	0.388	0.48	0.5755	1.606	M
9.0	0.15	0.435	0.535	0.1385	0.25	0.269	0.725	M
8.0	0.13	0.375	0.47	0.132	0.145	0.214	0.523	M
7.0	0.13	0.37	0.47	0.133	0.165	0.201	0.5225	M
10.0	0.125	0.375	0.475	0.085	0.155	0.2775	0.5785	F
7.0	0.095	0.265	0.36	0.046	0.075	0.105	0.2315	I
15.0	0.145	0.435	0.55	0.1915	0.255	0.328	0.843	M
15.0	0.16	0.435	0.53	0.164	0.335	0.316	0.883	M
10.0	0.14	0.415	0.53	0.1675	0.205	0.3105	0.724	M
12.0	0.16	0.47	0.605	0.2405	0.345	0.4975	1.1735	M
12.0	0.155	0.41	0.52	0.1835	0.235	0.291	0.727	F
11.0	0.165	0.43	0.545	0.183	0.28	0.2935	0.802	F
10.0	0.125	0.4	0.5	0.1315	0.22	0.261	0.6675	F
9.0	0.135	0.39	0.51	0.179	0.2	0.231	0.6335	F
9.0	0.105	0.395	0.435	0.098	0.13	0.136	0.3635	F
9.0	0.125	0.395	0.495	0.1345	0.155	0.2375	0.5415	M
