A10	A12	A9	A13	A5	A1	A4	A7	A6	A11	A8	A14	A3	A15	A2	class
t	f	t	g	g	b	u	v	w	1.0	1.25	202.0	0.0	0.0	30.83	+
t	f	t	g	g	a	u	h	q	6.0	3.04	43.0	4.46	560.0	58.67	+
f	f	t	g	g	a	u	h	q	0.0	1.5	280.0	0.5	824.0	24.5	+
t	t	t	g	g	b	u	v	w	5.0	3.75	100.0	1.54	3.0	27.83	+
f	f	t	s	g	b	u	v	w	0.0	1.71	120.0	5.625	0.0	20.17	+
f	t	t	g	g	b	u	v	m	0.0	2.5	360.0	4.0	0.0	32.08	+
f	t	t	g	g	b	u	h	r	0.0	6.5	164.0	1.04	31285.0	33.17	+
f	f	t	g	g	a	u	v	cc	0.0	0.04	80.0	11.585	1349.0	22.92	+
f	f	t	g	p	b	y	h	k	0.0	3.96	180.0	0.5	314.0	54.42	+
f	t	t	g	p	b	y	v	w	0.0	3.165	52.0	4.915	1442.0	42.5	+
f	t	f	g	g	b	u	h	c	0.0	2.165	128.0	0.83	0.0	22.08	+
f	f	t	g	g	b	u	h	c	0.0	4.335	260.0	1.835	200.0	29.92	+
f	t	t	g	g	a	u	v	k	0.0	1.0	0.0	6.0	0.0	38.25	+
f	f	f	g	g	b	u	v	k	0.0	0.04	0.0	6.04	2690.0	48.08	+
t	t	t	g	g	a	u	v	q	7.0	5.0	0.0	10.5	0.0	45.83	+
t	t	t	g	p	b	y	v	k	10.0	0.25	320.0	4.415	0.0	36.67	+
t	t	t	g	g	b	u	v	m	3.0	0.96	396.0	0.875	0.0	28.25	+
t	f	t	g	g	a	u	v	q	10.0	3.17	120.0	5.875	245.0	23.25	+
f	t	t	g	g	b	u	h	d	0.0	0.665	0.0	0.25	0.0	21.83	+
t	f	t	g	g	a	u	h	cc	7.0	0.75	96.0	8.585	0.0	19.17	+
t	f	t	g	g	b	u	v	c	17.0	2.5	200.0	11.25	1208.0	25.0	+
f	f	t	s	g	b	u	v	c	0.0	0.835	300.0	1.0	0.0	23.25	+
t	t	t	g	g	a	u	v	c	6.0	7.875	0.0	8.0	1260.0	47.75	+
t	f	t	g	g	a	u	h	x	1.0	3.085	120.0	14.5	11.0	27.42	+
t	t	t	g	g	a	u	v	q	3.0	0.5	145.0	6.5	0.0	41.17	+
t	f	t	g	g	a	u	h	c	2.0	1.5	100.0	0.585	0.0	15.83	+
t	t	t	g	g	a	u	bb	i	9.0	5.165	0.0	13.0	0.0	47.0	+
t	t	t	g	g	b	u	bb	d	17.0	15.0	0.0	18.5	0.0	56.58	+
t	f	t	g	g	b	u	h	e	3.0	7.0	0.0	8.5	0.0	57.42	+
t	t	t	g	g	b	u	v	w	6.0	5.0	500.0	1.04	10000.0	42.08	+
t	t	t	g	g	b	u	v	aa	5.0	5.04	168.0	14.79	0.0	29.25	+
t	f	t	g	g	b	u	h	x	8.0	7.96	0.0	9.79	0.0	42.0	+
t	t	t	g	g	b	u	bb	i	15.0	7.585	0.0	7.585	5000.0	49.5	+
f	t	t	g	g	a	u	v	e	0.0	5.0	0.0	5.125	4000.0	36.75	+
t	t	t	g	g	a	u	v	q	5.0	0.415	0.0	10.75	560.0	22.58	+
t	t	t	g	g	b	u	v	w	11.0	2.0	434.0	1.5	35.0	27.83	+
t	t	t	g	g	b	u	h	cc	12.0	1.835	583.0	1.585	713.0	27.25	+
t	t	t	g	g	a	u	h	x	2.0	0.5	300.0	11.75	551.0	23.0	+
t	f	t	g	p	b	y	v	cc	2.0	0.25	260.0	0.585	500.0	27.75	+
