b	class
c	d
	class
0.2	False
0.2	False
0.2	False
0.2	False
0.2	False
0.4	False
0.3	False
0.2	False
0.2	False
0.1	False
0.2	False
0.2	False
0.1	False
0.1	False
0.2	False
0.4	False
0.4	False
0.3	False
0.3	False
0.3	False
0.2	False
0.4	False
0.2	False
0.5	False
0.2	False
0.2	False
0.4	False
0.2	False
0.2	False
0.2	False
0.2	False
0.4	False
0.1	False
0.2	False
0.1	False
0.2	False
0.2	False
0.1	False
0.2	False
0.2	False
0.3	False
0.3	False
0.2	False
0.6	False
0.4	False
0.3	False
0.2	False
0.2	False
0.2	False
0.2	False
1.4	True
1.5	True
1.5	True
1.3	True
1.5	True
1.3	True
1.6	True
1.0	True
1.3	True
1.4	True
1.0	True
1.5	True
1.0	True
1.4	True
1.3	True
1.4	True
1.5	True
1.0	True
1.5	True
1.1	True
1.8	True
1.3	True
1.5	True
1.2	True
1.3	True
1.4	True
1.4	True
1.7	True
1.5	True
1.0	True
1.1	True
1.0	True
1.2	True
1.6	True
1.5	True
1.6	True
1.5	True
1.3	True
1.3	True
1.3	True
1.2	True
1.4	True
1.2	True
1.0	True
1.3	True
1.2	True
1.3	True
1.3	True
1.1	True
1.3	True
2.5	False
1.9	False
2.1	False
1.8	False
2.2	False
2.1	False
1.7	False
1.8	False
1.8	False
2.5	False
2.0	False
1.9	False
2.1	False
2.0	False
2.4	False
2.3	False
1.8	False
2.2	False
2.3	False
1.5	False
2.3	False
2.0	False
2.0	False
1.8	False
2.1	False
1.8	False
1.8	False
1.8	False
2.1	False
1.6	False
1.9	False
2.0	False
2.2	False
1.5	False
1.4	False
2.3	False
2.4	False
1.8	False
1.8	False
2.1	False
2.4	False
2.3	False
1.9	False
2.3	False
2.5	False
2.3	False
1.9	False
2.0	False
2.3	False
1.8	False
